,issue_id,commit_id
0,DBZ-3485,64
1,DBZ-3485,135
2,DBZ-3485,111
3,DBZ-3485,136
4,DBZ-3485,137
7,DBZ-3485,138
9,DBZ-3469,139
10,DBZ-3469,140
15,DBZ-3430,145
25,DBZ-3415,155
26,DBZ-3414,156
27,DBZ-3413,87
30,DBZ-3412,157
31,DBZ-3412,158
32,DBZ-3412,159
33,DBZ-3412,160
35,DBZ-3412,161
36,DBZ-3412,162
37,DBZ-3412,163
38,DBZ-3412,164
43,DBZ-3412,165
47,DBZ-3412,166
48,DBZ-3412,167
49,DBZ-3412,168
60,DBZ-3412,169
62,DBZ-3411,167
63,DBZ-3411,155
64,DBZ-3410,157
65,DBZ-3410,158
66,DBZ-3410,159
67,DBZ-3410,160
69,DBZ-3410,161
70,DBZ-3410,162
71,DBZ-3410,163
72,DBZ-3410,164
77,DBZ-3410,165
81,DBZ-3410,166
82,DBZ-3410,167
83,DBZ-3410,168
94,DBZ-3410,169
105,DBZ-3377,170
106,DBZ-3367,171
107,DBZ-3367,87
109,DBZ-3348,171
110,DBZ-3347,172
111,DBZ-3347,173
112,DBZ-3347,139
113,DBZ-3343,174
114,DBZ-3341,175
115,DBZ-3341,176
118,DBZ-3337,177
119,DBZ-3332,175
120,DBZ-3332,176
136,DBZ-3319,171
137,DBZ-3319,180
138,DBZ-3319,175
139,DBZ-3319,176
140,DBZ-3311,185
141,DBZ-3311,186
142,DBZ-3310,185
143,DBZ-3310,187
144,DBZ-3309,188
145,DBZ-3309,189
146,DBZ-3305,87
148,DBZ-3295,175
149,DBZ-3295,176
151,DBZ-3292,171
152,DBZ-3292,190
154,DBZ-3278,191
155,DBZ-3277,192
156,DBZ-3277,193
157,DBZ-3268,194
158,DBZ-3268,195
159,DBZ-3268,196
160,DBZ-3268,197
161,DBZ-3268,198
164,DBZ-3268,199
166,DBZ-3268,171
170,DBZ-3268,161
171,DBZ-3267,163
172,DBZ-3266,171
173,DBZ-3266,180
174,DBZ-3266,175
175,DBZ-3266,190
176,DBZ-3266,200
177,DBZ-3266,176
180,DBZ-3265,201
181,DBZ-3265,202
182,DBZ-3265,203
183,DBZ-3265,204
185,DBZ-3258,87
187,DBZ-3257,194
188,DBZ-3257,179
189,DBZ-3257,205
190,DBZ-3257,87
191,DBZ-3257,4
192,DBZ-3257,172
194,DBZ-3257,206
195,DBZ-3257,207
197,DBZ-3254,208
198,DBZ-3251,209
199,DBZ-3251,47
200,DBZ-3247,210
201,DBZ-3247,211
202,DBZ-3247,144
203,DBZ-3247,212
204,DBZ-3247,213
205,DBZ-3247,214
206,DBZ-3247,215
207,DBZ-3247,216
208,DBZ-3247,217
209,DBZ-3247,218
210,DBZ-3247,219
211,DBZ-3247,220
212,DBZ-3247,221
213,DBZ-3247,222
214,DBZ-3247,223
215,DBZ-3247,224
216,DBZ-3247,202
217,DBZ-3247,225
218,DBZ-3247,204
219,DBZ-3247,226
220,DBZ-3245,227
221,DBZ-3236,170
222,DBZ-3235,179
223,DBZ-3235,87
225,DBZ-3219,228
226,DBZ-3219,229
227,DBZ-3219,230
228,DBZ-3217,231
229,DBZ-3208,232
230,DBZ-3200,233
231,DBZ-3194,170
232,DBZ-3193,179
233,DBZ-3193,87
235,DBZ-3190,198
236,DBZ-3190,228
237,DBZ-3190,229
238,DBZ-3190,199
239,DBZ-3190,234
240,DBZ-3190,161
242,DBZ-3151,198
243,DBZ-3151,172
245,DBZ-3128,56
246,DBZ-3125,235
247,DBZ-3109,171
248,DBZ-3109,172
252,DBZ-3103,238
253,DBZ-3103,227
254,DBZ-3096,48
255,DBZ-3070,227
256,DBZ-3063,239
257,DBZ-3063,222
260,DBZ-3063,240
261,DBZ-3063,241
262,DBZ-3063,242
263,DBZ-3063,243
264,DBZ-3060,222
