,issue_id,issue_comments,issue_desc,created_at,closed_at
4362,ISPN-13132,{{RestServerHelper.ignoreCache()}} should wait for the response of the operation.,,,
4367,ISPN-13131,"{{CaceResourceV2.streamKeys}} returns a {{CacheKeyInputStream}}, which is converted to a chunked HTTP response in
{{BaseHttpRequestHandler.sendResponse()}}.

{{CacheKeyInputStream}} uses cache streams internally, which block when some of the keys are not local:
 
{noformat}
Test failed: org.infinispan.rest.resources.Test[security=true, protocol=HTTP_20, ssl=true].BlockingChecker
java.lang.AssertionError: Blocking call! jdk.internal.misc.Unsafe#park on thread Thread[non-blocking-thread-Test-NodeA-p1147-t1,5,ISPN-non-blocking-thread-group]
	at org.infinispan.util.CoreTestBlockHoundIntegration.lambda$applyTo$0(CoreTestBlockHoundIntegration.java:52) ~[infinispan-core-13.0.0-SNAPSHOT-tests.jar:13.0.0-SNAPSHOT]
	at reactor.blockhound.BlockHound$Builder.lambda$install$8(BlockHound.java:383) ~[blockhound-1.0.3.RELEASE.jar:?]
	at reactor.blockhound.BlockHoundRuntime.checkBlocking(BlockHoundRuntime.java:89) ~[?:?]
	at jdk.internal.misc.Unsafe.park(Unsafe.java) ~[?:?]
	at java.util.concurrent.locks.LockSupport.park(LockSupport.java:194) ~[?:?]
	at java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.await(AbstractQueuedSynchronizer.java:2081) ~[?:?]
	at io.reactivex.rxjava3.internal.operators.flowable.BlockingFlowableIterable$BlockingFlowableIterator.hasNext(BlockingFlowableIterable.java:101) ~[rxjava-3.0.4.jar:?]
	at org.infinispan.commons.util.Closeables$1.hasNext(Closeables.java:247) ~[infinispan-commons-13.0.0-SNAPSHOT.jar:13.0.0-SNAPSHOT]
	at org.infinispan.rest.CacheKeyInputStream.read(CacheKeyInputStream.java:69) ~[classes/:?]
	at java.io.InputStream.read(InputStream.java:280) ~[?:?]
	at java.io.FilterInputStream.read(FilterInputStream.java:133) ~[?:?]
	at java.io.PushbackInputStream.read(PushbackInputStream.java:183) ~[?:?]
	at io.netty.buffer.UnsafeByteBufUtil.setBytes(UnsafeByteBufUtil.java:454) ~[netty-buffer-4.1.63.Final.jar:4.1.63.Final]
	at io.netty.buffer.PooledUnsafeDirectByteBuf.setBytes(PooledUnsafeDirectByteBuf.java:211) ~[netty-buffer-4.1.63.Final.jar:4.1.63.Final]
	at io.netty.buffer.AbstractByteBuf.writeBytes(AbstractByteBuf.java:1122) ~[netty-buffer-4.1.63.Final.jar:4.1.63.Final]
	at io.netty.handler.stream.ChunkedStream.readChunk(ChunkedStream.java:122) ~[netty-handler-4.1.63.Final.jar:4.1.63.Final]
	at io.netty.handler.stream.ChunkedStream.readChunk(ChunkedStream.java:36) ~[netty-handler-4.1.63.Final.jar:4.1.63.Final]
	at io.netty.handler.codec.http.HttpChunkedInput.readChunk(HttpChunkedInput.java:102) ~[netty-codec-http-4.1.63.Final.jar:4.1.63.Final]
	at io.netty.handler.codec.http.HttpChunkedInput.readChunk(HttpChunkedInput.java:43) ~[netty-codec-http-4.1.63.Final.jar:4.1.63.Final]
	at io.netty.handler.stream.ChunkedWriteHandler.doFlush(ChunkedWriteHandler.java:230) ~[netty-handler-4.1.63.Final.jar:4.1.63.Final]
	at io.netty.handler.stream.ChunkedWriteHandler.flush(ChunkedWriteHandler.java:132) ~[netty-handler-4.1.63.Final.jar:4.1.63.Final]
	at io.netty.channel.AbstractChannelHandlerContext.invokeFlush0(AbstractChannelHandlerContext.java:750) ~[netty-transport-4.1.63.Final.jar:4.1.63.Final]
	at io.netty.channel.AbstractChannelHandlerContext.invokeWriteAndFlush(AbstractChannelHandlerContext.java:765) ~[netty-transport-4.1.63.Final.jar:4.1.63.Final]
	at io.netty.channel.AbstractChannelHandlerContext.write(AbstractChannelHandlerContext.java:790) ~[netty-transport-4.1.63.Final.jar:4.1.63.Final]
	at io.netty.channel.AbstractChannelHandlerContext.writeAndFlush(AbstractChannelHandlerContext.java:758) ~[netty-transport-4.1.63.Final.jar:4.1.63.Final]
	at org.infinispan.rest.ResponseWriter$4.writeResponse(ResponseWriter.java:85) ~[classes/:?]
	at org.infinispan.rest.BaseHttpRequestHandler.lambda$sendResponse$0(BaseHttpRequestHandler.java:47) ~[classes/:?]
	at io.netty.util.concurrent.AbstractEventExecutor.safeExecute(AbstractEventExecutor.java:164) [netty-common-4.1.63.Final.jar:4.1.63.Final]
{noformat}

The blocking operation causes random failures in {{CacheResourceTest}} and {{CacheV2ResourceTest}}.
Increasing the cluster size in {{AbstractRestResourceTest}} (e.g. to 12) makes the failure much easier to reproduce.

{noformat}
Test failed: org.infinispan.rest.resources.CacheResourceTest.shouldGetAllEntriesConvertedToJson[security=true, protocol=HTTP_20, ssl=true]
java.lang.NullPointerException: null
	at org.infinispan.rest.assertion.ResponseAssertion.lambda$hasReturnedText$0(ResponseAssertion.java:98) ~[test-classes/:?]
	at org.assertj.core.api.AbstractAssert.matches(AbstractAssert.java:528) ~[assertj-core-3.4.1.jar:?]
	at org.assertj.core.api.AbstractAssert.matches(AbstractAssert.java:523) ~[assertj-core-3.4.1.jar:?]
	at org.infinispan.rest.assertion.ResponseAssertion.hasReturnedText(ResponseAssertion.java:96) ~[test-classes/:?]
	at org.infinispan.rest.resources.BaseCacheResourceTest.shouldGetAllEntriesConvertedToJson(BaseCacheResourceTest.java:392) ~[test-classes/:?]
{noformat}

{noformat}
Test failed: org.infinispan.rest.resources.CacheV2ResourceTest.testGetAllKeys[security=true, protocol=HTTP_20, ssl=true]
java.lang.NullPointerException
	at java.base/java.text.StringCharacterIterator.<init>(StringCharacterIterator.java:79)
	at java.base/java.text.StringCharacterIterator.<init>(StringCharacterIterator.java:68)
	at org.infinispan.commons.dataconversion.internal.Json$Reader.read(Json.java:3045)
	at org.infinispan.commons.dataconversion.internal.Json.read(Json.java:1312)
	at org.infinispan.rest.resources.CacheV2ResourceTest.testGetAllKeys(CacheV2ResourceTest.java:494)
{noformat}
",,,
4404,ISPN-13128,"When upgrading a SFS cache from Infinipan 11.x -> 12.1.x, on initial startup, the contents of the SFS store are migrated so that they are compatible with the 12.1.x marshalling. However, the `migrateFromV11` method will always fail when a custom marshaller is configured.  This is due to the old loadLegacyObject implementation always attempting to read from the user marshaller first and only catching IllegalArgumentException before retring with the persistence marshaller.

The need to migrate data between 11.x and 12.1.x formats was caused by ISPN-11614, however this does not affect the compatibility of custom marshaller bytes as the persistence marshaller already wrapped custom marshaller key/values in a {{MarshallableUserObject}}.",,,
4426,ISPN-13120,"{noformat}
Caused by: java.lang.IncompatibleClassChangeError: Found interface org.eclipse.microprofile.metrics.MetricRegistry, but class was expected
	at org.infinispan:ispn-13.0//org.infinispan.metrics.impl.MetricsCollector.registerMetrics(MetricsCollector.java:152)
	at org.infinispan:ispn-13.0//org.infinispan.metrics.impl.CacheMetricsRegistration.internalRegisterMetrics(CacheMetricsRegistration.java:49)
	at org.infinispan:ispn-13.0//org.infinispan.metrics.impl.AbstractMetricsRegistration.registerMetrics(AbstractMetricsRegistration.java:114)
	at org.infinispan:ispn-13.0//org.infinispan.metrics.impl.AbstractMetricsRegistration.processComponents(AbstractMetricsRegistration.java:86)

{noformat}",,,
4429,ISPN-13119,Skip Wildfly startup during build time,,,
4433,ISPN-13106,"While warning with Java 11, illegal reflective access is denied by default from Java 16. 

{code}
WARNING: An illegal reflective access operation has occurred
WARNING: Illegal reflective access by org.infinispan.commons.util.Util (file:/opt/infinispan/lib/infinispan-commons-12.1.3.Final-redhat-00001.jar) to constructor com.sun.jndi.dns.DnsContextFactory()
WARNING: Please consider reporting this to the maintainers of org.infinispan.commons.util.Util
WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
{code}",,,
4436,ISPN-13100,The deployer role can create caches but can't remove them from the console because it's not admin. create role also gives delete authz,,,
4440,ISPN-13089,"When using client-cert authentication with authorization and the common-name-role-mapper, the common-name -> permission mapping results in a request being rejected even if the common-name is associated with a role that should be able to perform the operation e.g. ""admin"".",,,
4458,ISPN-13084,This configuration was deprecated but still necessary to use in certain scenarios such as Rolling Upgrades,,,
4462,ISPN-13082,"Server caches without encoding assumes ""unknown"" format and conversions from/to MediaType.APPLICATION_OBJECT are incorrect: instead of always using the user marshaller to go from/to the storage format, it uses an arbitrary rule where byte[] are stored ""as is"", String are stored as UTF-8 byte[] and custom objects are marshalled. This causes loss of information when trying to read the stored content.

Many tests are incorrect and take advantage of this wrong conversion",,,
