,diff,commit_id,summary,commit_time,files
81,"@@ -676,7 +676,7 @@ private void doHandshake() throws IOException {
      * @return true if the unwrap operation made progress, false otherwise
      * @throws SSLException
      */
     private long doUnwrap(ByteBuffer[] userBuffers, int off, int len) throws IOException {
         if(anyAreSet(state, FLAG_CLOSED)) {
             throw new ClosedChannelException();
         }
@@ -887,7 +887,7 @@ private long doUnwrap(ByteBuffer[] userBuffers, int off, int len) throws IOExcep
      * @return The amount of data consumed
      * @throws IOException
      */
     private long doWrap(ByteBuffer[] userBuffers, int off, int len) throws IOException {
         if(anyAreSet(state, FLAG_CLOSED)) {
             throw new ClosedChannelException();
         }
@@ -896,7 +896,7 @@ private long doWrap(ByteBuffer[] userBuffers, int off, int len) throws IOExcepti
         }
         if(anyAreSet(state, FLAG_WRITE_REQUIRES_READ)) {
             doUnwrap(null, 0, 0);
             if(allAreClear(state, FLAG_READ_REQUIRES_WRITE)) { //unless a wrap is immediatly required we just return
                 return 0;
             }
         }
@@ -1051,31 +1051,33 @@ private void closed() {
         if(anyAreSet(state, FLAG_CLOSED)) {
             return;
         }
         state |= FLAG_CLOSED | FLAG_DELEGATE_SINK_SHUTDOWN | FLAG_DELEGATE_SOURCE_SHUTDOWN | FLAG_WRITE_SHUTDOWN | FLAG_READ_SHUTDOWN;
         notifyReadClosed();
         notifyWriteClosed();
         if(dataToUnwrap != null) {
             dataToUnwrap.close();
             dataToUnwrap = null;
         }
         if(unwrappedData != null) {
             unwrappedData.close();
             unwrappedData = null;
         }
         if(wrappedData != null) {
             wrappedData.close();
             wrappedData = null;
         }
         if(allAreClear(state, FLAG_ENGINE_OUTBOUND_SHUTDOWN)) {
             engine.closeOutbound();
         }
         if(allAreClear(state, FLAG_ENGINE_INBOUND_SHUTDOWN)) {
             try {
                 engine.closeInbound();
             } catch (SSLException e) {
                 UndertowLogger.REQUEST_LOGGER.ioException(e);
             } catch (Throwable t) {
                 UndertowLogger.REQUEST_LOGGER.handleUnexpectedFailure(t);
             }
         }
         IoUtils.safeClose(delegate);
",132,,,
82,"@@ -300,4 +300,12 @@
         <Class name=""io.undertow.servlet.spec.HttpServletResponseImpl""/>
         <Method name=""addCookie""/>
     </Match>
 </FindBugsFilter>
",133,,,
95,"@@ -229,4 +229,7 @@ public interface UndertowServletMessages {
 
     @Message(id = 10061, value = ""Invalid method for push request %s"")
     IllegalArgumentException invalidMethodForPushRequest(String method);
 }
",95,,,
96,"@@ -207,11 +207,12 @@ public Void call(HttpServerExchange exchange, ThreadSetupHandler.Action<Void, Ob
 
     @Override
     public String getContextPath() {
         String contextPath = deploymentInfo.getContextPath();
         if (contextPath.equals(""/"")) {
             return """";
         }
         return contextPath;
     }
 
     @Override
@@ -225,21 +226,25 @@ public ServletContext getContext(final String uripath) {
 
     @Override
     public int getMajorVersion() {
         return deploymentInfo.getContainerMajorVersion();
     }
 
     @Override
     public int getMinorVersion() {
         return deploymentInfo.getContainerMinorVersion();
     }
 
     @Override
     public int getEffectiveMajorVersion() {
         return deploymentInfo.getMajorVersion();
     }
 
     @Override
     public int getEffectiveMinorVersion() {
         return deploymentInfo.getMinorVersion();
     }
 
@@ -260,7 +265,8 @@ public String getMimeType(final String file) {
     public Set<String> getResourcePaths(final String path) {
         final Resource resource;
         try {
             resource = deploymentInfo.getResourceManager().getResource(path);
         } catch (IOException e) {
             return null;
         }
@@ -294,7 +300,8 @@ public URL getResource(final String path) throws MalformedURLException {
         }
         Resource resource = null;
         try {
             resource = deploymentInfo.getResourceManager().getResource(path);
         } catch (IOException e) {
             return null;
         }
@@ -308,7 +315,8 @@ public URL getResource(final String path) throws MalformedURLException {
     public InputStream getResourceAsStream(final String path) {
         Resource resource = null;
         try {
             resource = deploymentInfo.getResourceManager().getResource(path);
         } catch (IOException e) {
             return null;
         }
@@ -382,6 +390,7 @@ public String getRealPath(final String path) {
         String canonicalPath = CanonicalPathUtils.canonicalize(path);
         Resource resource;
         try {
             resource = deploymentInfo.getResourceManager().getResource(canonicalPath);
 
             if (resource == null) {
@@ -414,6 +423,7 @@ public String getRealPath(final String path) {
 
     @Override
     public String getServerInfo() {
         return deploymentInfo.getServerName() + "" - "" + Version.getVersionString();
     }
 
@@ -487,6 +497,7 @@ public void removeAttribute(final String name) {
 
     @Override
     public String getServletContextName() {
         return deploymentInfo.getDisplayName();
     }
 
@@ -500,6 +511,7 @@ public ServletRegistration.Dynamic addServlet(final String servletName, final St
         ensureNotInitialized();
         ensureServletNameNotNull(servletName);
         try {
             if (deploymentInfo.getServlets().containsKey(servletName)) {
                 return null;
             }
@@ -524,6 +536,7 @@ public ServletRegistration.Dynamic addServlet(final String servletName, final Se
         ensureNotProgramaticListener();
         ensureNotInitialized();
         ensureServletNameNotNull(servletName);
         if (deploymentInfo.getServlets().containsKey(servletName)) {
             return null;
         }
@@ -539,6 +552,7 @@ public ServletRegistration.Dynamic addServlet(final String servletName, final Cl
         ensureNotProgramaticListener();
         ensureNotInitialized();
         ensureServletNameNotNull(servletName);
         if (deploymentInfo.getServlets().containsKey(servletName)) {
             return null;
         }
@@ -563,6 +577,7 @@ private void ensureServletNameNotNull(String servletName) {
     public <T extends Servlet> T createServlet(final Class<T> clazz) throws ServletException {
         ensureNotProgramaticListener();
         try {
             return deploymentInfo.getClassIntrospecter().createInstanceFactory(clazz).createInstance().getInstance();
         } catch (Exception e) {
             throw UndertowServletMessages.MESSAGES.couldNotInstantiateComponent(clazz.getName(), e);
@@ -593,6 +608,7 @@ public ServletRegistration getServletRegistration(final String servletName) {
     public FilterRegistration.Dynamic addFilter(final String filterName, final String className) {
         ensureNotProgramaticListener();
         ensureNotInitialized();
         if (deploymentInfo.getFilters().containsKey(filterName)) {
             return null;
         }
@@ -613,7 +629,7 @@ public FilterRegistration.Dynamic addFilter(final String filterName, final Strin
     public FilterRegistration.Dynamic addFilter(final String filterName, final Filter filter) {
         ensureNotProgramaticListener();
         ensureNotInitialized();
 
         if (deploymentInfo.getFilters().containsKey(filterName)) {
             return null;
         }
@@ -628,6 +644,7 @@ public FilterRegistration.Dynamic addFilter(final String filterName, final Filte
     public FilterRegistration.Dynamic addFilter(final String filterName, final Class<? extends Filter> filterClass) {
         ensureNotProgramaticListener();
         ensureNotInitialized();
         if (deploymentInfo.getFilters().containsKey(filterName)) {
             return null;
         }
@@ -645,6 +662,7 @@ public FilterRegistration.Dynamic addFilter(final String filterName, final Class
     public <T extends Filter> T createFilter(final Class<T> clazz) throws ServletException {
         ensureNotProgramaticListener();
         try {
             return deploymentInfo.getClassIntrospecter().createInstanceFactory(clazz).createInstance().getInstance();
         } catch (Exception e) {
             throw UndertowServletMessages.MESSAGES.couldNotInstantiateComponent(clazz.getName(), e);
@@ -654,6 +672,7 @@ public <T extends Filter> T createFilter(final Class<T> clazz) throws ServletExc
     @Override
     public FilterRegistration getFilterRegistration(final String filterName) {
         ensureNotProgramaticListener();
         final FilterInfo filterInfo = deploymentInfo.getFilters().get(filterName);
         if (filterInfo == null) {
             return null;
@@ -664,6 +683,7 @@ public FilterRegistration getFilterRegistration(final String filterName) {
     @Override
     public Map<String, ? extends FilterRegistration> getFilterRegistrations() {
         ensureNotProgramaticListener();
         final Map<String, FilterRegistration> ret = new HashMap<>();
         for (Map.Entry<String, FilterInfo> entry : deploymentInfo.getFilters().entrySet()) {
             ret.put(entry.getKey(), new FilterRegistrationImpl(entry.getValue(), deployment, this));
@@ -719,6 +739,7 @@ public <T extends EventListener> void addListener(final T t) {
             throw UndertowServletMessages.MESSAGES.cannotAddServletContextListener();
         }
         ListenerInfo listener = new ListenerInfo(t.getClass(), new ImmediateInstanceFactory<EventListener>(t));
         deploymentInfo.addListener(listener);
         deployment.getApplicationListeners().addListener(new ManagedListener(listener, true));
     }
@@ -733,6 +754,7 @@ public void addListener(final Class<? extends EventListener> listenerClass) {
         }
         InstanceFactory<? extends EventListener> factory = null;
         try {
             factory = deploymentInfo.getClassIntrospecter().createInstanceFactory(listenerClass);
         } catch (Exception e) {
             throw new IllegalArgumentException(e);
@@ -749,6 +771,7 @@ public <T extends EventListener> T createListener(final Class<T> clazz) throws S
             throw UndertowServletMessages.MESSAGES.listenerMustImplementListenerClass(clazz);
         }
         try {
             return deploymentInfo.getClassIntrospecter().createInstanceFactory(clazz).createInstance().getInstance();
         } catch (Exception e) {
             throw UndertowServletMessages.MESSAGES.couldNotInstantiateComponent(clazz.getName(), e);
@@ -762,6 +785,7 @@ public JspConfigDescriptor getJspConfigDescriptor() {
 
     @Override
     public ClassLoader getClassLoader() {
         return deploymentInfo.getClassLoader();
     }
 
@@ -800,18 +824,21 @@ public String getRequestCharacterEncoding() {
         if(enconding != null) {
             return enconding;
         }
         return deploymentInfo.getDefaultEncoding();
     }
 
     @Override
     public void setRequestCharacterEncoding(String encoding) {
         ensureNotInitialized();
         ensureNotProgramaticListener();
         deploymentInfo.setDefaultRequestEncoding(encoding);
     }
 
     @Override
     public String getResponseCharacterEncoding() {
         String enconding = deploymentInfo.getDefaultResponseEncoding();
         if(enconding != null) {
             return enconding;
@@ -823,6 +850,7 @@ public String getResponseCharacterEncoding() {
     public void setResponseCharacterEncoding(String encoding) {
         ensureNotInitialized();
         ensureNotProgramaticListener();
         deploymentInfo.setDefaultResponseEncoding(encoding);
     }
 
@@ -1259,4 +1287,10 @@ public SessionConfig getDelegate() {
             return delegate;
         }
     }
 }
",93,,,
97,"@@ -132,4 +132,7 @@ public interface UndertowServletLogger extends BasicLogger {
     @LogMessage(level = WARN)
     @Message(id = 15022, value = ""Requested resource at %s does not exist for include method"")
     void requestedResourceDoesNotExistForIncludeMethod(String path);
 }
",94,,,
98,"@@ -230,6 +230,6 @@ public interface UndertowServletMessages {
     @Message(id = 10061, value = ""Invalid method for push request %s"")
     IllegalArgumentException invalidMethodForPushRequest(String method);
 
     @Message(id = 10063, value = ""This Context has been already destroyed"")
     IllegalStateException nullDeploymentInfo();
 }
",95,,,
99,"@@ -205,14 +205,20 @@ public Void call(HttpServerExchange exchange, ThreadSetupHandler.Action<Void, Ob
         });
     }
 
     @Override
     public String getContextPath() {
             checkDeploymentInfo();
             String contextPath = deploymentInfo.getContextPath();
             if (contextPath.equals(""/"")) {
                 return """";
             }
             return contextPath;
     }
 
     @Override
@@ -226,26 +232,22 @@ public ServletContext getContext(final String uripath) {
 
     @Override
     public int getMajorVersion() {
         checkDeploymentInfo();
         return deploymentInfo.getContainerMajorVersion();
     }
 
     @Override
     public int getMinorVersion() {
         checkDeploymentInfo();
         return deploymentInfo.getContainerMinorVersion();
     }
 
     @Override
     public int getEffectiveMajorVersion() {
         checkDeploymentInfo();
         return deploymentInfo.getMajorVersion();
     }
 
     @Override
     public int getEffectiveMinorVersion() {
         checkDeploymentInfo();
         return deploymentInfo.getMinorVersion();
     }
 
     @Override
@@ -265,8 +267,7 @@ public String getMimeType(final String file) {
     public Set<String> getResourcePaths(final String path) {
         final Resource resource;
         try {
              checkDeploymentInfo();
              resource = deploymentInfo.getResourceManager().getResource(path);
         } catch (IOException e) {
             return null;
         }
@@ -300,8 +301,7 @@ public URL getResource(final String path) throws MalformedURLException {
         }
         Resource resource = null;
         try {
                checkDeploymentInfo();
                resource = deploymentInfo.getResourceManager().getResource(path);
         } catch (IOException e) {
             return null;
         }
@@ -315,8 +315,7 @@ public URL getResource(final String path) throws MalformedURLException {
     public InputStream getResourceAsStream(final String path) {
         Resource resource = null;
         try {
               checkDeploymentInfo();
               resource = deploymentInfo.getResourceManager().getResource(path);
         } catch (IOException e) {
             return null;
         }
@@ -387,10 +386,10 @@ public String getRealPath(final String path) {
         if (path == null) {
             return null;
         }
         String canonicalPath = CanonicalPathUtils.canonicalize(path);
         Resource resource;
         try {
             checkDeploymentInfo();
             resource = deploymentInfo.getResourceManager().getResource(canonicalPath);
 
             if (resource == null) {
@@ -423,32 +422,31 @@ public String getRealPath(final String path) {
 
     @Override
     public String getServerInfo() {
         checkDeploymentInfo();
         return deploymentInfo.getServerName() + "" - "" + Version.getVersionString();
     }
 
     @Override
     public String getInitParameter(final String name) {
         if (name == null) {
             throw UndertowServletMessages.MESSAGES.nullName();
         }
         return deploymentInfo.getInitParameters().get(name);
     }
 
     @Override
     public Enumeration<String> getInitParameterNames() {
         return new IteratorEnumeration<>(deploymentInfo.getInitParameters().keySet().iterator());
     }
 
     @Override
     public boolean setInitParameter(final String name, final String value) {
         if(name == null) {
             throw UndertowServletMessages.MESSAGES.paramCannotBeNullNPE(""name"");
         }
         if (deploymentInfo.getInitParameters().containsKey(name)) {
             return false;
         }
         deploymentInfo.addInitParameter(name, value);
         return true;
     }
 
@@ -497,8 +495,7 @@ public void removeAttribute(final String name) {
 
     @Override
     public String getServletContextName() {
         checkDeploymentInfo();
         return deploymentInfo.getDisplayName();
     }
 
     @Override
@@ -511,7 +508,7 @@ public ServletRegistration.Dynamic addServlet(final String servletName, final St
         ensureNotInitialized();
         ensureServletNameNotNull(servletName);
         try {
             checkDeploymentInfo();
             if (deploymentInfo.getServlets().containsKey(servletName)) {
                 return null;
             }
@@ -520,7 +517,7 @@ public ServletRegistration.Dynamic addServlet(final String servletName, final St
             for(HandlerWrapper i : wrappers) {
                 servlet.addHandlerChainWrapper(i);
             }
             readServletAnnotations(servlet);
             deploymentInfo.addServlet(servlet);
             ServletHandler handler = deployment.getServlets().addServlet(servlet);
             return new ServletRegistrationImpl(servlet, handler.getManagedServlet(), deployment);
@@ -536,12 +533,12 @@ public ServletRegistration.Dynamic addServlet(final String servletName, final Se
         ensureNotProgramaticListener();
         ensureNotInitialized();
         ensureServletNameNotNull(servletName);
         checkDeploymentInfo();
         if (deploymentInfo.getServlets().containsKey(servletName)) {
             return null;
         }
         ServletInfo s = new ServletInfo(servletName, servlet.getClass(), new ImmediateInstanceFactory<>(servlet));
         readServletAnnotations(s);
         deploymentInfo.addServlet(s);
         ServletHandler handler = deployment.getServlets().addServlet(s);
         return new ServletRegistrationImpl(s, handler.getManagedServlet(), deployment);
@@ -552,13 +549,13 @@ public ServletRegistration.Dynamic addServlet(final String servletName, final Cl
         ensureNotProgramaticListener();
         ensureNotInitialized();
         ensureServletNameNotNull(servletName);
         checkDeploymentInfo();
         if (deploymentInfo.getServlets().containsKey(servletName)) {
             return null;
         }
         try {
             ServletInfo servlet = new ServletInfo(servletName, servletClass, deploymentInfo.getClassIntrospecter().createInstanceFactory(servletClass));
             readServletAnnotations(servlet);
             deploymentInfo.addServlet(servlet);
             ServletHandler handler = deployment.getServlets().addServlet(servlet);
             return new ServletRegistrationImpl(servlet, handler.getManagedServlet(), deployment);
@@ -577,8 +574,7 @@ private void ensureServletNameNotNull(String servletName) {
     public <T extends Servlet> T createServlet(final Class<T> clazz) throws ServletException {
         ensureNotProgramaticListener();
         try {
             checkDeploymentInfo();
             return deploymentInfo.getClassIntrospecter().createInstanceFactory(clazz).createInstance().getInstance();
         } catch (Exception e) {
             throw UndertowServletMessages.MESSAGES.couldNotInstantiateComponent(clazz.getName(), e);
         }
@@ -608,7 +604,7 @@ public ServletRegistration getServletRegistration(final String servletName) {
     public FilterRegistration.Dynamic addFilter(final String filterName, final String className) {
         ensureNotProgramaticListener();
         ensureNotInitialized();
         checkDeploymentInfo();
         if (deploymentInfo.getFilters().containsKey(filterName)) {
             return null;
         }
@@ -629,7 +625,7 @@ public FilterRegistration.Dynamic addFilter(final String filterName, final Strin
     public FilterRegistration.Dynamic addFilter(final String filterName, final Filter filter) {
         ensureNotProgramaticListener();
         ensureNotInitialized();
         checkDeploymentInfo();
         if (deploymentInfo.getFilters().containsKey(filterName)) {
             return null;
         }
@@ -644,7 +640,7 @@ public FilterRegistration.Dynamic addFilter(final String filterName, final Filte
     public FilterRegistration.Dynamic addFilter(final String filterName, final Class<? extends Filter> filterClass) {
         ensureNotProgramaticListener();
         ensureNotInitialized();
         checkDeploymentInfo();
         if (deploymentInfo.getFilters().containsKey(filterName)) {
             return null;
         }
@@ -662,8 +658,7 @@ public FilterRegistration.Dynamic addFilter(final String filterName, final Class
     public <T extends Filter> T createFilter(final Class<T> clazz) throws ServletException {
         ensureNotProgramaticListener();
         try {
             checkDeploymentInfo();
             return deploymentInfo.getClassIntrospecter().createInstanceFactory(clazz).createInstance().getInstance();
         } catch (Exception e) {
             throw UndertowServletMessages.MESSAGES.couldNotInstantiateComponent(clazz.getName(), e);
         }
@@ -672,8 +667,7 @@ public <T extends Filter> T createFilter(final Class<T> clazz) throws ServletExc
     @Override
     public FilterRegistration getFilterRegistration(final String filterName) {
         ensureNotProgramaticListener();
         checkDeploymentInfo();
         final FilterInfo filterInfo = deploymentInfo.getFilters().get(filterName);
         if (filterInfo == null) {
             return null;
         }
@@ -683,9 +677,8 @@ public FilterRegistration getFilterRegistration(final String filterName) {
     @Override
     public Map<String, ? extends FilterRegistration> getFilterRegistrations() {
         ensureNotProgramaticListener();
         checkDeploymentInfo();
         final Map<String, FilterRegistration> ret = new HashMap<>();
         for (Map.Entry<String, FilterInfo> entry : deploymentInfo.getFilters().entrySet()) {
             ret.put(entry.getKey(), new FilterRegistrationImpl(entry.getValue(), deployment, this));
         }
         return ret;
@@ -723,7 +716,7 @@ public Set<SessionTrackingMode> getEffectiveSessionTrackingModes() {
     @Override
     public void addListener(final String className) {
         try {
             Class<? extends EventListener> clazz = (Class<? extends EventListener>) deploymentInfo.getClassLoader().loadClass(className);
             addListener(clazz);
         } catch (ClassNotFoundException e) {
             throw new IllegalArgumentException(e);
@@ -739,8 +732,7 @@ public <T extends EventListener> void addListener(final T t) {
             throw UndertowServletMessages.MESSAGES.cannotAddServletContextListener();
         }
         ListenerInfo listener = new ListenerInfo(t.getClass(), new ImmediateInstanceFactory<EventListener>(t));
         checkDeploymentInfo();
         deploymentInfo.addListener(listener);
         deployment.getApplicationListeners().addListener(new ManagedListener(listener, true));
     }
 
@@ -752,9 +744,9 @@ public void addListener(final Class<? extends EventListener> listenerClass) {
                 && ServletContextListener.class.isAssignableFrom(listenerClass)) {
             throw UndertowServletMessages.MESSAGES.cannotAddServletContextListener();
         }
         InstanceFactory<? extends EventListener> factory = null;
         try {
             checkDeploymentInfo();
             factory = deploymentInfo.getClassIntrospecter().createInstanceFactory(listenerClass);
         } catch (Exception e) {
             throw new IllegalArgumentException(e);
@@ -771,22 +763,20 @@ public <T extends EventListener> T createListener(final Class<T> clazz) throws S
             throw UndertowServletMessages.MESSAGES.listenerMustImplementListenerClass(clazz);
         }
         try {
             checkDeploymentInfo();
             return deploymentInfo.getClassIntrospecter().createInstanceFactory(clazz).createInstance().getInstance();
         } catch (Exception e) {
             throw UndertowServletMessages.MESSAGES.couldNotInstantiateComponent(clazz.getName(), e);
         }
     }
 
     @Override
     public JspConfigDescriptor getJspConfigDescriptor() {
         return deploymentInfo.getJspConfigDescriptor();
     }
 
     @Override
     public ClassLoader getClassLoader() {
         checkDeploymentInfo();
         return deploymentInfo.getClassLoader();
     }
 
     @Override
@@ -820,25 +810,24 @@ public void setSessionTimeout(int sessionTimeout) {
 
     @Override
     public String getRequestCharacterEncoding() {
         String enconding = deploymentInfo.getDefaultRequestEncoding();
         if(enconding != null) {
             return enconding;
         }
         checkDeploymentInfo();
         return deploymentInfo.getDefaultEncoding();
     }
 
     @Override
     public void setRequestCharacterEncoding(String encoding) {
         ensureNotInitialized();
         ensureNotProgramaticListener();
         checkDeploymentInfo();
         deploymentInfo.setDefaultRequestEncoding(encoding);
     }
 
     @Override
     public String getResponseCharacterEncoding() {
         checkDeploymentInfo();
         String enconding = deploymentInfo.getDefaultResponseEncoding();
         if(enconding != null) {
             return enconding;
@@ -850,8 +839,7 @@ public String getResponseCharacterEncoding() {
     public void setResponseCharacterEncoding(String encoding) {
         ensureNotInitialized();
         ensureNotProgramaticListener();
         checkDeploymentInfo();
         deploymentInfo.setDefaultResponseEncoding(encoding);
     }
 
     @Override
@@ -937,7 +925,7 @@ public String rewriteUrl(String originalUrl, String sessionId) {
                         exchange.putAttachment(sessionAttachmentKey, httpSession);
                     }
                 } else if (existing != null) {
                     if(deploymentInfo.isCheckOtherSessionManagers()) {
                         boolean found = false;
                         for (String deploymentName : deployment.getServletContainer().listDeployments()) {
                             DeploymentManager deployment = this.deployment.getServletContainer().getDeployment(deploymentName);
@@ -1018,7 +1006,7 @@ public void destroy() {
         deploymentInfo = null;
     }
 
     private void readServletAnnotations(ServletInfo servlet) {
         if (System.getSecurityManager() == null) {
             new ReadServletAnnotationsTask(servlet, deploymentInfo).run();
         } else {
@@ -1287,10 +1275,4 @@ public SessionConfig getDelegate() {
             return delegate;
         }
     }
 
     private void checkDeploymentInfo() {
         if (deploymentInfo == null) {
             throw UndertowServletMessages.MESSAGES.nullDeploymentInfo();
         }
     }
 }
",93,,,
100,"@@ -468,6 +468,7 @@ void requestStarted(HttpServerExchange serverExchange) {
                     serverExchange.putAttachment(FIRST_REQUEST_ACCESS, System.currentTimeMillis());
                 }
             }
         }
 
         @Override
",22,,,
101,"@@ -122,7 +122,8 @@ public void testParametersFromOriginalPostRequest() throws IOException {
         HttpResponse result = executePostRequest(client, ""/servletContext/dumpRequest"", new BasicNameValuePair(""param1"", ""param1Value""), new BasicNameValuePair(""param2"", ""param2Value""));
         assertEquals(StatusCodes.OK, result.getStatusLine().getStatusCode());
         String response = HttpClientUtils.readResponse(result);
         assertTrue(response.contains(""param1=param1Value/param2=param2Value""));
 
         // this request should be saved and the client redirect to the login form.
         result = executePostRequest(client, ""/servletContext/secured/dumpRequest"", new BasicNameValuePair(""securedParam1"", ""securedParam1Value""), new BasicNameValuePair(""securedParam2"", ""securedParam2Value""));
",146,,,
103,"@@ -467,8 +467,13 @@ private void error(ServletRequestContext servletRequestContext, final ServletReq
         requestImpl.setAttribute(ERROR_REQUEST_URI, requestImpl.getRequestURI());
         requestImpl.setAttribute(ERROR_SERVLET_NAME, servletName);
         if (exception != null) {
             requestImpl.setAttribute(ERROR_EXCEPTION, exception);
             requestImpl.setAttribute(ERROR_EXCEPTION_TYPE, exception.getClass());
         }
         requestImpl.setAttribute(ERROR_MESSAGE, message);
         requestImpl.setAttribute(ERROR_STATUS_CODE, responseImpl.getStatus());
",148,,,
