,issue_id,commit_id
0,WFLY-2049,884
1,WFLY-2049,885
4,WFLY-2057,888
5,WFLY-2057,431
6,WFLY-2057,36
7,WFLY-2057,889
8,WFLY-2057,890
9,WFLY-2057,862
10,WFLY-2057,891
11,WFLY-2057,892
12,WFLY-2057,12
13,WFLY-2057,893
14,WFLY-2057,894
15,WFLY-2057,895
16,WFLY-2057,315
17,WFLY-2057,896
19,WFLY-1507,897
20,WFLY-1507,898
21,WFLY-1507,799
22,WFLY-1497,899
23,WFLY-1497,900
24,WFLY-1497,901
25,WFLY-2210,902
26,WFLY-2192,766
27,WFLY-2192,281
28,WFLY-2192,654
29,WFLY-2192,694
30,WFLY-2830,903
31,WFLY-2830,904
32,WFLY-2830,905
33,WFLY-2830,906
34,WFLY-2830,907
35,WFLY-2830,908
37,WFLY-2830,21
38,WFLY-2830,783
39,WFLY-2830,815
40,WFLY-2830,909
42,WFLY-1506,910
43,WFLY-1506,911
44,WFLY-1506,912
45,WFLY-1506,913
46,WFLY-1506,914
47,WFLY-1506,88
48,WFLY-1506,915
49,WFLY-2106,916
50,WFLY-2106,917
51,WFLY-2106,513
52,WFLY-2103,918
53,WFLY-2103,770
54,WFLY-2855,919
55,WFLY-2855,920
56,WFLY-2855,485
57,WFLY-2855,310
58,WFLY-2855,921
59,WFLY-2855,922
60,WFLY-2855,923
61,WFLY-2855,924
62,WFLY-2855,925
63,WFLY-2855,926
64,WFLY-2855,63
65,WFLY-2855,431
66,WFLY-2855,927
67,WFLY-2855,928
68,WFLY-2855,929
69,WFLY-2855,930
70,WFLY-2855,931
71,WFLY-2855,932
72,WFLY-2855,933
73,WFLY-2855,934
74,WFLY-2855,935
75,WFLY-2855,936
76,WFLY-1930,937
77,WFLY-1930,938
78,WFLY-1930,939
79,WFLY-1930,940
80,WFLY-1930,941
81,WFLY-1930,942
82,WFLY-1930,943
83,WFLY-1930,804
84,WFLY-1930,308
85,WFLY-1930,313
88,WFLY-1930,611
89,WFLY-1930,684
92,WFLY-1930,86
93,WFLY-1930,658
94,WFLY-1930,265
95,WFLY-1930,64
96,WFLY-1930,137
97,WFLY-1930,120
98,WFLY-1930,944
99,WFLY-1930,945
101,WFLY-1930,946
102,WFLY-1930,947
103,WFLY-1930,948
108,WFLY-1930,327
110,WFLY-1930,386
111,WFLY-1930,677
112,WFLY-1930,179
116,WFLY-1930,100
118,WFLY-1930,903
119,WFLY-1873,252
120,WFLY-1873,64
121,WFLY-1873,313
122,WFLY-1873,949
123,WFLY-1873,704
124,WFLY-2260,950
125,WFLY-2260,951
126,WFLY-2260,952
127,WFLY-2260,953
128,WFLY-2260,954
129,WFLY-2260,955
130,WFLY-2260,956
131,WFLY-2260,957
132,WFLY-2260,958
133,WFLY-2260,959
134,WFLY-2260,960
135,WFLY-2260,961
136,WFLY-2260,962
137,WFLY-2260,963
138,WFLY-2260,964
139,WFLY-2260,965
140,WFLY-2496,966
141,WFLY-2496,967
142,WFLY-2424,968
143,WFLY-2346,904
144,WFLY-2346,905
145,WFLY-2346,969
146,WFLY-2346,970
147,WFLY-2346,971
148,WFLY-2346,972
149,WFLY-2346,973
150,WFLY-2346,974
151,WFLY-2346,975
152,WFLY-2346,976
153,WFLY-2346,977
154,WFLY-2346,978
155,WFLY-2346,979
156,WFLY-2346,980
157,WFLY-2346,187
158,WFLY-2346,981
159,WFLY-2346,982
160,WFLY-2346,983
161,WFLY-2346,984
162,WFLY-2346,985
163,WFLY-2346,986
164,WFLY-2346,987
165,WFLY-2346,988
166,WFLY-2346,287
167,WFLY-2346,989
168,WFLY-2346,108
169,WFLY-2346,990
170,WFLY-2346,991
171,WFLY-2346,903
172,WFLY-2346,992
173,WFLY-2346,993
180,WFLY-2346,994
181,WFLY-2346,995
182,WFLY-2346,996
183,WFLY-1809,997
184,WFLY-2853,404
185,WFLY-2853,229
186,WFLY-2853,998
187,WFLY-2853,999
188,WFLY-2853,1000
189,WFLY-2853,757
190,WFLY-2853,575
191,WFLY-2853,1001
192,WFLY-2853,1002
193,WFLY-2853,1003
194,WFLY-2853,1004
195,WFLY-2853,525
198,WFLY-2853,1005
199,WFLY-2853,779
200,WFLY-2853,734
201,WFLY-2853,665
202,WFLY-2853,589
203,WFLY-2853,623
206,WFLY-2853,512
207,WFLY-2853,331
210,WFLY-2853,883
211,WFLY-2853,224
212,WFLY-2853,1006
213,WFLY-2853,1007
214,WFLY-2853,1008
215,WFLY-2853,132
217,WFLY-2853,297
219,WFLY-2853,828
220,WFLY-2853,257
221,WFLY-2853,571
222,WFLY-2853,285
223,WFLY-2853,319
224,WFLY-2853,1009
225,WFLY-2853,628
226,WFLY-2853,1010
227,WFLY-2853,315
228,WFLY-2853,386
229,WFLY-2853,677
230,WFLY-2853,1011
231,WFLY-2853,1012
232,WFLY-2853,1013
233,WFLY-2853,1014
234,WFLY-2853,115
236,WFLY-2853,1015
237,WFLY-2853,1016
238,WFLY-2853,1017
239,WFLY-2853,1018
240,WFLY-2853,1019
241,WFLY-2853,523
242,WFLY-2853,1020
243,WFLY-2853,1021
244,WFLY-2853,1022
245,WFLY-2853,1023
246,WFLY-2853,1024
247,WFLY-2895,852
248,WFLY-2829,282
249,WFLY-2762,1025
265,WFLY-3112,802
268,WFLY-3051,1034
269,WFLY-2099,1035
270,WFLY-2099,918
271,WFLY-2099,1036
277,WFLY-1532,1042
278,WFLY-2730,970
279,WFLY-2730,1043
280,WFLY-2730,1044
281,WFLY-2730,1045
282,WFLY-2730,1046
283,WFLY-2730,977
284,WFLY-2730,1047
285,WFLY-2730,187
286,WFLY-2730,983
287,WFLY-2730,989
288,WFLY-2730,990
289,WFLY-2730,991
290,WFLY-2730,903
291,WFLY-2730,969
292,WFLY-2730,1048
293,WFLY-2730,1049
294,WFLY-2730,1050
295,WFLY-2730,1051
296,WFLY-2730,1052
297,WFLY-2730,1053
298,WFLY-2730,341
299,WFLY-2730,588
300,WFLY-2730,49
301,WFLY-2730,62
302,WFLY-2730,1054
303,WFLY-2730,992
304,WFLY-2730,873
305,WFLY-2674,760
306,WFLY-2674,1055
307,WFLY-2674,1056
308,WFLY-2674,585
309,WFLY-2674,346
310,WFLY-2674,1057
311,WFLY-2868,1058
312,WFLY-2868,1059
313,WFLY-1634,7
314,WFLY-1634,59
315,WFLY-2291,1060
316,WFLY-2291,969
317,WFLY-2291,970
318,WFLY-2291,187
319,WFLY-2291,981
320,WFLY-2291,982
321,WFLY-2291,1061
322,WFLY-2291,108
323,WFLY-2291,1062
324,WFLY-2291,1063
325,WFLY-2291,995
326,WFLY-2291,990
327,WFLY-2291,991
