,issue_id,commit_id
4362,ISPN-13132,581
4363,ISPN-13132,1279
4364,ISPN-13132,876
4365,ISPN-13132,1510
4366,ISPN-13132,2421
4367,ISPN-13131,581
4368,ISPN-13131,1279
4369,ISPN-13131,876
4370,ISPN-13131,1510
4371,ISPN-13131,2421
4404,ISPN-13128,1681
4405,ISPN-13128,369
4406,ISPN-13128,475
4407,ISPN-13128,2416
4408,ISPN-13128,2417
4409,ISPN-13128,2418
4410,ISPN-13128,2419
4411,ISPN-13128,227
4412,ISPN-13128,429
4413,ISPN-13128,839
4416,ISPN-13128,2391
4426,ISPN-13120,1647
4427,ISPN-13120,586
4428,ISPN-13120,2437
4429,ISPN-13119,2394
4430,ISPN-13119,1868
4431,ISPN-13119,2438
4433,ISPN-13106,1759
4434,ISPN-13106,2439
4435,ISPN-13106,2440
4436,ISPN-13100,1717
4437,ISPN-13100,1899
4438,ISPN-13100,1675
4439,ISPN-13100,2441
4440,ISPN-13089,2442
4441,ISPN-13089,602
4442,ISPN-13089,131
4444,ISPN-13089,2443
4445,ISPN-13089,2444
4446,ISPN-13089,1360
4447,ISPN-13089,221
4448,ISPN-13089,1380
4449,ISPN-13089,2445
4450,ISPN-13089,1476
4451,ISPN-13089,1477
4452,ISPN-13089,2446
4453,ISPN-13089,1196
4454,ISPN-13089,1769
4455,ISPN-13089,538
4456,ISPN-13089,2447
4457,ISPN-13089,2448
4458,ISPN-13084,2449
4459,ISPN-13084,611
4460,ISPN-13084,480
4461,ISPN-13084,2450
4462,ISPN-13082,2451
4463,ISPN-13082,2452
4464,ISPN-13082,2453
4465,ISPN-13082,2423
4466,ISPN-13082,333
4467,ISPN-13082,2430
4468,ISPN-13082,2454
4469,ISPN-13082,226
4470,ISPN-13082,153
4471,ISPN-13082,1280
4472,ISPN-13082,434
4474,ISPN-13082,691
4475,ISPN-13081,2455
4476,ISPN-13081,2456
4477,ISPN-13081,2457
4478,ISPN-13079,81
4509,ISPN-13077,2458
4510,ISPN-13077,2459
4511,ISPN-13057,1747
4512,ISPN-13057,418
4513,ISPN-13057,16
4514,ISPN-13057,2187
4515,ISPN-13057,2460
4516,ISPN-13057,1735
4517,ISPN-13057,195
4518,ISPN-13057,2192
4519,ISPN-13057,2193
4520,ISPN-13057,2194
4521,ISPN-13057,2195
4522,ISPN-13057,2226
4523,ISPN-13057,2227
4524,ISPN-13057,2461
4525,ISPN-13057,2462
4526,ISPN-13057,369
4527,ISPN-13057,2463
4528,ISPN-13057,14
4529,ISPN-13057,1743
4530,ISPN-13057,2175
4531,ISPN-13057,2199
4532,ISPN-13057,2200
4533,ISPN-13057,132
4534,ISPN-13057,589
4535,ISPN-13057,1058
4536,ISPN-13057,2413
4537,ISPN-13057,790
4538,ISPN-13057,2464
4539,ISPN-13057,2201
4540,ISPN-13057,2206
4541,ISPN-13057,2183
4546,ISPN-13049,638
4547,ISPN-13036,2466
4548,ISPN-13036,9
4549,ISPN-13031,1088
4550,ISPN-13031,889
4551,ISPN-13031,2467
4552,ISPN-13031,1097
4556,ISPN-13031,1659
4557,ISPN-13031,1053
4563,ISPN-13026,1088
4564,ISPN-13026,889
4565,ISPN-13026,2467
4566,ISPN-13026,1097
4570,ISPN-13026,1659
4571,ISPN-13026,1053
4572,ISPN-13024,2470
4573,ISPN-13022,1659
4574,ISPN-13022,1053
4575,ISPN-13017,2059
4576,ISPN-13017,2060
4577,ISPN-13017,2061
4578,ISPN-13017,2062
4579,ISPN-13017,2063
4580,ISPN-13017,2471
4581,ISPN-13017,2019
4582,ISPN-13017,2472
4583,ISPN-13017,2473
4584,ISPN-13017,2474
