,issue_id,commit_id
409,JBTM-2516,243
410,JBTM-2516,244
411,JBTM-2516,245
412,JBTM-2516,246
413,JBTM-2516,247
414,JBTM-2516,248
415,JBTM-2516,249
416,JBTM-2516,250
417,JBTM-2516,251
418,JBTM-2516,252
419,JBTM-2516,253
420,JBTM-2516,254
421,JBTM-2516,255
422,JBTM-2516,256
423,JBTM-2516,257
424,JBTM-2516,258
425,JBTM-2516,259
426,JBTM-2516,260
427,JBTM-2516,261
428,JBTM-2516,262
429,JBTM-2516,263
430,JBTM-2516,264
431,JBTM-2516,265
432,JBTM-2516,266
433,JBTM-2516,267
434,JBTM-2516,268
435,JBTM-2516,269
436,JBTM-2516,270
437,JBTM-2516,271
438,JBTM-2516,272
439,JBTM-2516,273
440,JBTM-2516,274
441,JBTM-2516,275
442,JBTM-2516,276
443,JBTM-2516,277
444,JBTM-2516,278
445,JBTM-2516,279
446,JBTM-2516,280
447,JBTM-2516,281
448,JBTM-2516,282
449,JBTM-2516,283
450,JBTM-2516,284
451,JBTM-2516,285
452,JBTM-2516,286
453,JBTM-2514,287
454,JBTM-2514,288
455,JBTM-2514,289
462,JBTM-2514,290
463,JBTM-2514,291
466,JBTM-2509,237
467,JBTM-2507,293
468,JBTM-2507,105
469,JBTM-2506,294
470,JBTM-2506,295
471,JBTM-2506,296
472,JBTM-2503,241
473,JBTM-2503,297
474,JBTM-2503,298
475,JBTM-2502,299
476,JBTM-2501,299
477,JBTM-2501,300
478,JBTM-2501,301
479,JBTM-2501,302
480,JBTM-2501,303
481,JBTM-2501,304
482,JBTM-2501,305
483,JBTM-2501,306
484,JBTM-2501,307
485,JBTM-2501,308
486,JBTM-2501,309
487,JBTM-2501,310
488,JBTM-2501,311
489,JBTM-2494,292
490,JBTM-2488,312
491,JBTM-2488,313
492,JBTM-2488,314
493,JBTM-2488,315
494,JBTM-2488,316
495,JBTM-2488,317
496,JBTM-2488,318
497,JBTM-2488,319
498,JBTM-2488,320
499,JBTM-2487,142
500,JBTM-2486,142
