,issue_id,issue_comments,issue_desc,created_at,closed_at
190,MODE-1971,"When connector to external source is used and document is being copied within this connector the Copy function does not work correctly.

For the source document with content repository does:
1. asks connector for new document's ID for copy to be created
2. generates new ID for document's copy content without asking connector for it
3. uses generated ID to store content into external source
4. fails as ID is not found

CmisConnector fails with ObjectNotFound error
FileSystem fails with incorrect id format as it expects to get key with slashes.

",,,
194,MODE-1966,"When a repository starts up, we attempt to register that repository in JNDI, either using a default or a configured JNDI name. If a {{NamingException}} is raised, we log that exception.

In the case of some web servers (e.g. Tomcat), the default global context is present but read-only. 

For such cases, we shouldn't log an exception/error, we should only log an info/warn message.",,,
197,MODE-1965,"Section 3.5.7.2 of the JSR-283 specification (aka, ""JCR 2.0"") states:
{quote}
A mixin node type may have one or more supertypes, which must also be mixin types.
{quote}

At the moment however, ModeShape does not perform any kind of validation in this regard, allowing a mixin type to inherit from a non-mixin type. 
We should add this validation so that an error is raised during type registration if the above case occurs.
",,,
209,MODE-1964,"When property has been removed from node and then changes must be saved to external source they are not available in connector's updateDocument(delta) method.

class org.modeshape.jcr.cache.document.SessionNode.java has following code which returns change list for removed properties:
{code}
        public Set<Name> removedPropertyNames() {
            Set<Name> result = new HashSet<Name>();
            result.addAll(changedProperties().keySet());
            return result;
        }
{code}
instead of 
{code}
result.addAll(changedProperties().keySet()) 
{code}
there should be 
{code}
result.addAll(removedProperties())
{code}

",,,
211,MODE-1963,"Register, unregister it and register the same mixin (via JCR) again results in a NPE.",,,
219,MODE-1959,"When starting up a repository configured with {{transactionMode=none}} and with an initial content file, that content file is not imported.

It appears that with {{transactionMode=none}} the repository system area is not correctly initialized.",,,
223,MODE-1954,"Removing a previously-defined property definition from a registered node type using the node type templates mechanism results in an exception:

{code}
org.modeshape.jcr.cache.NodeNotFoundInParentException: Cannot locate child node: 7d98ad9317f1e7/jcr:system/jcr:nodeTypes/{http???www.mycompany.com?dms?mix?1.0}filecontent/{http???www.mycompany.com?dms?mix?1.0}removeMe/String/1 within parent: 7d98ad9317f1e7/jcr:system/jcr:nodeTypes/{http???www.mycompany.com?dms?mix?1.0}filecontent
    at org.modeshape.jcr.cache.document.SessionNode.getSegment(SessionNode.java:417)
    at org.modeshape.jcr.cache.document.SessionNode.getPath(SessionNode.java:449)
    at org.modeshape.jcr.cache.PathCache.getPath(PathCache.java:49)
    at org.modeshape.jcr.cache.document.WritableSessionCache.persistChanges(WritableSessionCache.java:852)
    at org.modeshape.jcr.cache.document.WritableSessionCache.save(WritableSessionCache.java:382)
    at org.modeshape.jcr.cache.document.WritableSessionCache.save(WritableSessionCache.java:347)
    at org.modeshape.jcr.SystemContent.save(SystemContent.java:112)
    at org.modeshape.jcr.RepositoryNodeTypeManager.registerNodeTypes(RepositoryNodeTypeManager.java:523)
    at org.modeshape.jcr.RepositoryNodeTypeManager.registerNodeType(RepositoryNodeTypeManager.java:377)
    at org.modeshape.jcr.JcrNodeTypeManager.registerNodeType(JcrNodeTypeManager.java:489)
{code}",,,
225,MODE-1953,"It seems to me that there is a bug in the org.modeshape.jcr.JcrNode.getNodes(String) method when the session has not been saved yet.

The method returns nodes that don't match the pattern as a parameter.

I tested with Jackrabbit and I don't have this problem.",,,
235,MODE-1951,"At initialize (line 215) of FileSystemConnector, noticed that the parameter passed is exclusionPattern instead of inclusionPattern

{{if (inclusionPattern != null) filenameFilter.setInclusionPattern(*exclusionPattern*);}}
",,,
239,MODE-1950,"The existing REST service allows the update of mixins on a node, via the ""PUT"" method.  However, when an update causes mixins to be removed, the following problems may occur:

* because the mixins are processed first (before any properties) it is impossible to remove a mixin if the node has properties defined which belong to that mixin or an ancestor of that mixin. This is because a validation is performed when removing the mixins which would result in a {{ConstraintViolationException}}
* the existing REST service doesn't handle properly removing of properties via update, by passing in {{null}} values or empty arrays. This is needed in order to be able to remove properties from a node. 

Therefore, not only should the last point from above be implemented, but also the order in which mixins & properties are updated via the REST Service should be changed.",,,
255,MODE-1949,"When a mixin is removed, there is code validation in place to ensure that if there are still public properties on that node which were brought in via the mixin, a {{ConstraintViolationException}} is thrown. 

The same validation should take place not only for the properties of the mixin type itself, but for all the properties of the ancestors of that mixin as well.

Currently, if {{mixinA}} inherits from {{mixinB}} and {{mixinB}} defines a public property which is set on a node, {{mixinA}} can be removed without a problem, even though it ""orphans"" the property.",,,
257,MODE-1948,"When I deploy the Resource Adapter (from GitHub pull request https://github.com/ModeShape/modeshape/pull/812 ) and enable indexing, the write.lock file is never removed.",,,
