,issue_id,commit_id
190,MODE-1971,237
191,MODE-1971,369
192,MODE-1971,338
193,MODE-1971,264
194,MODE-1966,263
195,MODE-1966,140
197,MODE-1965,157
198,MODE-1965,263
199,MODE-1965,144
201,MODE-1965,224
202,MODE-1965,440
203,MODE-1965,441
204,MODE-1965,442
205,MODE-1965,443
206,MODE-1965,444
207,MODE-1965,445
208,MODE-1965,446
209,MODE-1964,369
210,MODE-1964,207
211,MODE-1963,144
212,MODE-1963,333
213,MODE-1963,224
219,MODE-1959,338
220,MODE-1959,450
221,MODE-1959,416
222,MODE-1959,451
223,MODE-1954,333
224,MODE-1954,224
225,MODE-1953,202
226,MODE-1953,452
227,MODE-1953,388
228,MODE-1953,369
229,MODE-1953,224
233,MODE-1953,453
235,MODE-1951,237
236,MODE-1951,188
237,MODE-1951,264
238,MODE-1951,454
239,MODE-1950,146
240,MODE-1950,455
241,MODE-1950,456
242,MODE-1950,457
243,MODE-1950,458
244,MODE-1950,459
245,MODE-1950,460
246,MODE-1950,461
247,MODE-1950,462
248,MODE-1950,463
249,MODE-1950,464
250,MODE-1950,465
251,MODE-1950,466
252,MODE-1950,467
253,MODE-1950,468
254,MODE-1950,148
255,MODE-1949,202
256,MODE-1949,171
257,MODE-1948,469
258,MODE-1948,470
259,MODE-1948,471
260,MODE-1948,12
261,MODE-1948,472
263,MODE-1948,473
264,MODE-1948,474
265,MODE-1947,91
266,MODE-1945,257
267,MODE-1945,304
268,MODE-1945,338
269,MODE-1945,223
270,MODE-1940,338
271,MODE-1940,305
272,MODE-1940,176
273,MODE-1939,313
274,MODE-1939,196
275,MODE-1939,475
276,MODE-1939,476
277,MODE-1938,386
278,MODE-1938,259
279,MODE-1937,477
280,MODE-1937,478
281,MODE-1937,479
282,MODE-1937,282
283,MODE-1937,480
284,MODE-1937,481
285,MODE-1937,82
286,MODE-1937,212
287,MODE-1937,482
288,MODE-1937,483
290,MODE-1935,484
291,MODE-1935,485
292,MODE-1935,486
293,MODE-1935,487
294,MODE-1935,263
295,MODE-1935,140
296,MODE-1935,488
297,MODE-1935,303
298,MODE-1935,489
299,MODE-1935,490
300,MODE-1935,491
302,MODE-1935,423
303,MODE-1935,492
305,MODE-1934,432
306,MODE-1934,493
307,MODE-1934,494
308,MODE-1934,76
309,MODE-1934,343
310,MODE-1934,495
311,MODE-1934,496
312,MODE-1934,497
313,MODE-1934,498
314,MODE-1934,499
315,MODE-1934,500
316,MODE-1934,501
317,MODE-1934,345
318,MODE-1934,78
319,MODE-1934,423
320,MODE-1934,502
329,MODE-1933,503
330,MODE-1933,497
331,MODE-1933,485
332,MODE-1933,504
334,MODE-1932,505
335,MODE-1932,506
336,MODE-1932,507
337,MODE-1932,508
338,MODE-1932,509
339,MODE-1932,503
340,MODE-1932,510
341,MODE-1930,192
342,MODE-1930,511
343,MODE-1930,177
344,MODE-1930,427
346,MODE-1930,512
347,MODE-1929,503
348,MODE-1929,497
349,MODE-1929,485
350,MODE-1926,250
351,MODE-1926,302
352,MODE-1926,307
353,MODE-1926,313
354,MODE-1926,443
355,MODE-1926,142
356,MODE-1926,196
357,MODE-1926,475
358,MODE-1926,513
362,MODE-1926,514
363,MODE-1925,515
364,MODE-1925,516
365,MODE-1925,517
366,MODE-1925,518
367,MODE-1925,519
368,MODE-1925,520
369,MODE-1925,423
370,MODE-1925,493
372,MODE-1923,484
373,MODE-1923,497
374,MODE-1923,485
375,MODE-1922,510
376,MODE-1919,278
377,MODE-1919,77
378,MODE-1919,277
379,MODE-1919,5
380,MODE-1919,288
381,MODE-1919,33
382,MODE-1919,103
383,MODE-1919,93
384,MODE-1919,270
385,MODE-1919,94
388,MODE-1919,521
389,MODE-1919,494
390,MODE-1919,522
391,MODE-1919,497
392,MODE-1919,48
393,MODE-1919,246
394,MODE-1917,484
395,MODE-1916,144
397,MODE-1916,523
398,MODE-1913,494
399,MODE-1913,497
400,MODE-1913,246
401,MODE-1912,202
402,MODE-1912,171
403,MODE-1912,304
404,MODE-1912,331
405,MODE-1911,413
406,MODE-1911,524
407,MODE-1911,525
408,MODE-1911,423
410,MODE-1910,240
411,MODE-1909,526
412,MODE-1900,527
413,MODE-1900,528
414,MODE-1900,529
415,MODE-1900,530
416,MODE-1900,114
417,MODE-1900,531
420,MODE-1898,532
421,MODE-1898,533
422,MODE-1898,511
423,MODE-1898,534
424,MODE-1898,535
425,MODE-1898,536
426,MODE-1898,537
427,MODE-1898,427
428,MODE-1898,538
429,MODE-1895,539
430,MODE-1895,500
431,MODE-1894,369
432,MODE-1894,176
433,MODE-1887,385
434,MODE-1887,331
435,MODE-1887,540
437,MODE-1884,298
438,MODE-1884,541
439,MODE-1884,28
440,MODE-1883,263
441,MODE-1883,385
443,MODE-1883,331
444,MODE-1883,262
445,MODE-1883,542
446,MODE-1882,237
447,MODE-1882,543
449,MODE-1882,60
450,MODE-1882,544
451,MODE-1882,545
452,MODE-1882,263
453,MODE-1882,264
454,MODE-1880,237
455,MODE-1878,304
456,MODE-1878,224
457,MODE-1878,546
458,MODE-1876,488
459,MODE-1876,303
460,MODE-1876,547
461,MODE-1876,491
465,MODE-1874,505
466,MODE-1874,506
467,MODE-1874,551
468,MODE-1874,552
469,MODE-1874,553
470,MODE-1874,554
471,MODE-1874,507
472,MODE-1874,508
473,MODE-1874,555
474,MODE-1874,556
475,MODE-1874,509
476,MODE-1874,231
477,MODE-1874,557
478,MODE-1874,53
479,MODE-1874,497
480,MODE-1873,558
481,MODE-1873,559
482,MODE-1873,114
483,MODE-1873,147
484,MODE-1873,264
485,MODE-1871,263
486,MODE-1871,560
487,MODE-1871,561
488,MODE-1871,562
489,MODE-1871,563
490,MODE-1871,140
491,MODE-1871,564
492,MODE-1870,486
493,MODE-1870,490
494,MODE-1870,176
495,MODE-1870,565
496,MODE-1870,566
497,MODE-1867,567
498,MODE-1867,568
499,MODE-1867,561
500,MODE-1867,569
501,MODE-1867,554
502,MODE-1867,503
503,MODE-1867,497
504,MODE-1867,345
505,MODE-1865,114
506,MODE-1865,570
508,MODE-1865,571
509,MODE-1865,572
512,MODE-1863,140
513,MODE-1861,263
514,MODE-1861,420
515,MODE-1861,421
517,MODE-1861,573
518,MODE-1861,574
519,MODE-1861,526
520,MODE-1861,575
521,MODE-1861,576
522,MODE-1861,577
523,MODE-1861,578
524,MODE-1861,579
525,MODE-1861,580
526,MODE-1861,178
529,MODE-1859,560
530,MODE-1859,556
531,MODE-1859,581
532,MODE-1859,582
533,MODE-1859,557
534,MODE-1859,53
535,MODE-1859,583
536,MODE-1859,584
537,MODE-1859,585
538,MODE-1859,586
539,MODE-1858,587
540,MODE-1858,588
541,MODE-1858,589
542,MODE-1856,439
543,MODE-1856,369
544,MODE-1856,338
545,MODE-1856,590
546,MODE-1856,591
548,MODE-1856,497
552,MODE-1856,592
553,MODE-1856,556
554,MODE-1856,238
555,MODE-1856,492
556,MODE-1856,503
557,MODE-1856,593
558,MODE-1856,594
559,MODE-1854,140
560,MODE-1854,490
561,MODE-1854,595
563,MODE-1853,596
564,MODE-1853,140
565,MODE-1853,345
566,MODE-1853,580
567,MODE-1853,597
568,MODE-1853,598
569,MODE-1853,80
570,MODE-1853,247
571,MODE-1853,266
573,MODE-1852,140
574,MODE-1852,178
576,MODE-1852,599
577,MODE-1852,530
578,MODE-1852,600
579,MODE-1852,601
580,MODE-1852,602
581,MODE-1852,114
582,MODE-1852,603
583,MODE-1852,604
584,MODE-1852,605
585,MODE-1852,606
586,MODE-1852,607
587,MODE-1852,608
588,MODE-1852,515
589,MODE-1852,609
590,MODE-1852,610
591,MODE-1852,413
592,MODE-1852,611
593,MODE-1852,524
594,MODE-1852,612
595,MODE-1852,500
596,MODE-1852,501
597,MODE-1852,613
598,MODE-1852,16
599,MODE-1852,202
600,MODE-1852,283
601,MODE-1852,139
603,MODE-1852,144
604,MODE-1852,387
605,MODE-1852,263
607,MODE-1852,176
609,MODE-1852,614
610,MODE-1852,615
611,MODE-1852,423
612,MODE-1852,215
613,MODE-1852,80
614,MODE-1852,247
615,MODE-1852,86
616,MODE-1852,125
617,MODE-1852,185
618,MODE-1852,325
619,MODE-1852,616
620,MODE-1852,617
621,MODE-1852,618
622,MODE-1852,619
623,MODE-1852,620
625,MODE-1852,621
626,MODE-1852,345
639,MODE-1850,622
640,MODE-1850,178
643,MODE-1848,311
644,MODE-1848,110
645,MODE-1844,140
646,MODE-1844,386
647,MODE-1844,338
649,MODE-1844,623
650,MODE-1844,624
651,MODE-1840,625
652,MODE-1840,558
653,MODE-1840,626
654,MODE-1840,627
655,MODE-1840,339
656,MODE-1840,628
657,MODE-1840,114
658,MODE-1836,140
659,MODE-1836,629
660,MODE-1836,386
661,MODE-1836,630
662,MODE-1836,550
664,MODE-1834,621
665,MODE-1834,631
666,MODE-1834,114
667,MODE-1834,632
668,MODE-1834,633
669,MODE-1834,634
670,MODE-1834,635
671,MODE-1834,636
672,MODE-1834,637
673,MODE-1834,117
674,MODE-1834,638
675,MODE-1834,173
676,MODE-1834,639
677,MODE-1834,381
678,MODE-1834,263
679,MODE-1834,338
681,MODE-1834,330
682,MODE-1834,640
683,MODE-1834,641
684,MODE-1834,642
685,MODE-1834,550
686,MODE-1833,643
687,MODE-1833,644
688,MODE-1833,114
689,MODE-1833,570
691,MODE-1832,617
692,MODE-1832,645
694,MODE-1832,618
696,MODE-1830,386
697,MODE-1830,646
698,MODE-1830,587
699,MODE-1830,330
700,MODE-1830,647
701,MODE-1830,648
702,MODE-1829,558
703,MODE-1829,114
704,MODE-1828,144
705,MODE-1828,67
706,MODE-1828,649
707,MODE-1828,650
708,MODE-1827,303
709,MODE-1826,651
710,MODE-1826,652
711,MODE-1825,643
712,MODE-1825,114
713,MODE-1824,530
714,MODE-1824,114
715,MODE-1823,653
716,MODE-1823,654
717,MODE-1823,655
718,MODE-1823,656
719,MODE-1822,657
720,MODE-1822,658
721,MODE-1821,224
722,MODE-1821,304
723,MODE-1821,144
724,MODE-1821,439
725,MODE-1821,659
726,MODE-1821,338
727,MODE-1821,660
729,MODE-1819,263
730,MODE-1819,661
731,MODE-1819,662
732,MODE-1819,369
733,MODE-1819,657
734,MODE-1819,587
735,MODE-1819,338
737,MODE-1819,663
738,MODE-1819,664
739,MODE-1819,665
740,MODE-1817,338
741,MODE-1817,660
742,MODE-1817,597
743,MODE-1816,666
744,MODE-1816,667
745,MODE-1816,668
746,MODE-1816,100
747,MODE-1816,669
748,MODE-1813,670
749,MODE-1813,671
750,MODE-1813,672
751,MODE-1813,673
752,MODE-1811,674
753,MODE-1811,675
754,MODE-1809,529
755,MODE-1809,676
756,MODE-1809,114
757,MODE-1807,144
758,MODE-1807,67
759,MODE-1807,677
764,MODE-1806,678
765,MODE-1806,345
766,MODE-1806,263
767,MODE-1806,679
768,MODE-1805,680
769,MODE-1805,505
770,MODE-1805,619
771,MODE-1805,681
772,MODE-1805,556
773,MODE-1805,682
774,MODE-1805,238
775,MODE-1805,492
776,MODE-1805,503
777,MODE-1805,593
778,MODE-1805,594
779,MODE-1805,510
780,MODE-1805,133
781,MODE-1805,683
782,MODE-1805,684
783,MODE-1805,651
784,MODE-1805,685
785,MODE-1805,140
786,MODE-1805,488
787,MODE-1805,303
788,MODE-1805,67
789,MODE-1805,686
791,MODE-1804,509
792,MODE-1804,687
793,MODE-1804,490
794,MODE-1804,347
795,MODE-1804,357
796,MODE-1802,237
797,MODE-1802,679
798,MODE-1802,688
800,MODE-1802,263
802,MODE-1802,264
805,MODE-1802,454
806,MODE-1799,304
807,MODE-1799,176
808,MODE-1798,678
809,MODE-1798,263
810,MODE-1798,140
811,MODE-1798,345
812,MODE-1798,387
814,MODE-1798,679
815,MODE-1798,689
816,MODE-1798,690
817,MODE-1796,240
818,MODE-1795,691
819,MODE-1795,257
820,MODE-1795,6
821,MODE-1795,223
822,MODE-1795,692
823,MODE-1794,240
824,MODE-1791,503
825,MODE-1791,510
826,MODE-1791,651
827,MODE-1791,686
828,MODE-1791,237
829,MODE-1791,60
830,MODE-1791,309
831,MODE-1791,207
833,MODE-1791,693
834,MODE-1791,357
835,MODE-1791,343
839,MODE-1791,202
840,MODE-1791,694
843,MODE-1791,179
844,MODE-1791,263
845,MODE-1791,347
846,MODE-1791,264
848,MODE-1790,240
849,MODE-1789,345
850,MODE-1789,263
853,MODE-1786,345
854,MODE-1786,695
855,MODE-1786,696
856,MODE-1786,697
857,MODE-1786,698
858,MODE-1785,237
859,MODE-1785,263
860,MODE-1785,140
861,MODE-1785,345
862,MODE-1785,303
863,MODE-1785,386
864,MODE-1785,547
865,MODE-1785,489
866,MODE-1785,491
868,MODE-1785,347
869,MODE-1785,114
871,MODE-1785,699
872,MODE-1785,690
873,MODE-1785,454
874,MODE-1785,700
875,MODE-1785,701
876,MODE-1785,702
877,MODE-1785,703
878,MODE-1785,704
879,MODE-1785,680
880,MODE-1785,505
881,MODE-1785,551
882,MODE-1785,705
883,MODE-1785,556
884,MODE-1785,510
885,MODE-1785,651
891,MODE-1785,706
892,MODE-1785,707
893,MODE-1785,348
894,MODE-1785,349
902,MODE-1785,352
903,MODE-1785,353
904,MODE-1785,542
905,MODE-1785,356
906,MODE-1785,357
911,MODE-1785,682
912,MODE-1785,238
913,MODE-1785,492
914,MODE-1785,503
915,MODE-1785,593
917,MODE-1785,133
918,MODE-1785,708
920,MODE-1785,285
922,MODE-1785,709
923,MODE-1783,202
924,MODE-1783,710
925,MODE-1783,711
926,MODE-1775,202
927,MODE-1775,304
928,MODE-1775,712
929,MODE-1775,384
930,MODE-1775,385
931,MODE-1775,331
932,MODE-1774,263
933,MODE-1774,300
935,MODE-1773,345
936,MODE-1773,347
937,MODE-1772,237
938,MODE-1772,202
939,MODE-1772,713
940,MODE-1772,714
941,MODE-1772,694
942,MODE-1772,60
943,MODE-1772,309
944,MODE-1772,263
945,MODE-1772,207
946,MODE-1772,679
947,MODE-1772,690
948,MODE-1772,715
949,MODE-1769,89
950,MODE-1769,716
951,MODE-1769,717
952,MODE-1769,550
954,MODE-1765,718
955,MODE-1765,719
956,MODE-1765,720
957,MODE-1765,721
958,MODE-1765,722
959,MODE-1765,723
960,MODE-1765,413
961,MODE-1765,724
962,MODE-1765,651
963,MODE-1765,686
964,MODE-1765,524
965,MODE-1765,725
966,MODE-1765,726
967,MODE-1765,246
968,MODE-1765,612
969,MODE-1765,727
970,MODE-1765,728
971,MODE-1762,206
972,MODE-1762,192
973,MODE-1762,110
974,MODE-1762,106
975,MODE-1762,729
976,MODE-1762,90
977,MODE-1762,28
978,MODE-1762,730
979,MODE-1762,45
980,MODE-1762,731
981,MODE-1762,732
982,MODE-1760,733
983,MODE-1760,423
985,MODE-1751,304
986,MODE-1751,439
987,MODE-1751,369
988,MODE-1751,224
989,MODE-1750,734
990,MODE-1750,114
991,MODE-1748,202
992,MODE-1748,257
993,MODE-1748,304
994,MODE-1748,314
995,MODE-1748,144
996,MODE-1748,346
997,MODE-1748,223
998,MODE-1748,735
999,MODE-1748,736
1000,MODE-1748,737
1001,MODE-1748,738
1002,MODE-1748,739
1003,MODE-1748,740
1004,MODE-1748,741
1005,MODE-1748,742
1006,MODE-1748,743
1007,MODE-1748,611
1008,MODE-1747,744
1009,MODE-1746,660
1010,MODE-1746,140
1011,MODE-1746,621
1012,MODE-1746,745
1013,MODE-1746,713
1014,MODE-1746,714
1015,MODE-1746,338
1016,MODE-1746,694
1017,MODE-1746,450
1018,MODE-1746,595
1019,MODE-1746,746
1020,MODE-1746,105
1021,MODE-1746,550
1022,MODE-1746,597
1023,MODE-1746,589
1028,MODE-1746,747
1029,MODE-1746,598
1031,MODE-1746,748
1032,MODE-1746,256
1033,MODE-1746,107
1034,MODE-1746,749
1035,MODE-1746,9
1036,MODE-1746,125
1037,MODE-1746,750
1041,MODE-1746,263
1043,MODE-1746,386
1044,MODE-1746,751
1047,MODE-1746,752
1049,MODE-1746,641
1050,MODE-1746,642
1055,MODE-1745,660
1056,MODE-1745,140
1057,MODE-1745,621
1058,MODE-1745,745
1059,MODE-1745,713
1060,MODE-1745,714
1061,MODE-1745,338
1062,MODE-1745,694
1063,MODE-1745,450
1064,MODE-1745,595
1065,MODE-1745,746
1066,MODE-1745,105
1067,MODE-1745,550
1068,MODE-1745,597
1069,MODE-1745,589
1074,MODE-1745,747
1075,MODE-1745,598
1077,MODE-1745,748
1078,MODE-1745,256
1079,MODE-1745,107
1080,MODE-1745,749
1081,MODE-1745,9
1082,MODE-1745,125
1083,MODE-1745,750
1087,MODE-1745,263
1089,MODE-1745,386
1090,MODE-1745,751
1093,MODE-1745,752
1095,MODE-1745,641
1096,MODE-1745,642
1101,MODE-1743,753
1102,MODE-1743,564
1103,MODE-1743,754
1104,MODE-1743,755
1105,MODE-1743,756
1106,MODE-1742,757
1107,MODE-1742,559
1108,MODE-1742,758
1109,MODE-1742,405
1110,MODE-1742,408
1111,MODE-1742,410
1113,MODE-1742,60
1114,MODE-1742,580
1116,MODE-1740,83
1117,MODE-1740,326
1118,MODE-1740,216
1119,MODE-1740,137
1124,MODE-1738,338
1125,MODE-1738,694
1126,MODE-1738,207
1127,MODE-1738,4
1128,MODE-1738,527
1129,MODE-1738,529
1130,MODE-1738,530
1131,MODE-1738,114
1132,MODE-1737,338
1133,MODE-1737,694
1134,MODE-1737,207
1135,MODE-1737,4
1136,MODE-1737,527
1137,MODE-1737,529
1138,MODE-1737,530
1139,MODE-1737,114
1141,MODE-1737,528
1144,MODE-1734,559
1145,MODE-1734,660
1146,MODE-1734,663
1147,MODE-1734,759
1149,MODE-1734,760
1151,MODE-1734,580
1152,MODE-1734,761
1153,MODE-1734,105
1155,MODE-1734,762
1158,MODE-1734,550
1159,MODE-1734,597
1160,MODE-1734,747
1161,MODE-1734,598
1162,MODE-1734,763
1163,MODE-1734,589
1165,MODE-1734,764
1168,MODE-1733,330
1169,MODE-1733,765
1170,MODE-1733,641
1171,MODE-1733,642
1172,MODE-1733,766
1173,MODE-1733,767
1174,MODE-1733,580
1175,MODE-1733,768
1176,MODE-1733,769
1177,MODE-1733,770
1179,MODE-1733,771
1180,MODE-1733,772
1181,MODE-1733,773
1182,MODE-1733,774
1183,MODE-1733,775
1184,MODE-1733,776
1185,MODE-1733,777
1186,MODE-1733,778
1187,MODE-1733,779
1188,MODE-1733,780
1189,MODE-1733,781
1190,MODE-1733,782
1191,MODE-1733,783
1192,MODE-1733,784
1193,MODE-1733,785
1194,MODE-1733,786
1195,MODE-1733,787
1198,MODE-1733,105
1199,MODE-1733,550
1200,MODE-1733,788
1201,MODE-1733,597
1202,MODE-1733,789
1203,MODE-1733,747
1204,MODE-1733,598
1205,MODE-1733,589
1206,MODE-1733,748
1207,MODE-1733,9
1208,MODE-1733,790
1209,MODE-1733,791
1210,MODE-1733,750
1214,MODE-1731,792
1215,MODE-1731,793
1216,MODE-1731,405
1217,MODE-1731,424
1218,MODE-1731,406
1219,MODE-1731,407
1220,MODE-1731,408
1221,MODE-1731,794
1222,MODE-1731,795
1223,MODE-1731,409
1224,MODE-1731,410
1225,MODE-1731,757
1226,MODE-1731,796
1227,MODE-1731,797
1228,MODE-1731,768
1229,MODE-1731,280
1230,MODE-1731,314
1231,MODE-1731,798
1232,MODE-1731,328
1233,MODE-1731,713
1234,MODE-1731,387
1235,MODE-1731,329
1236,MODE-1731,388
1237,MODE-1731,714
1238,MODE-1731,369
1239,MODE-1731,587
1240,MODE-1731,694
1241,MODE-1731,799
1242,MODE-1731,60
1243,MODE-1731,59
1244,MODE-1731,373
1245,MODE-1731,559
1246,MODE-1731,224
1247,MODE-1731,800
1248,MODE-1731,38
1249,MODE-1731,801
1250,MODE-1731,215
1251,MODE-1731,80
1252,MODE-1731,247
1253,MODE-1731,86
1258,MODE-1731,317
1259,MODE-1731,202
1265,MODE-1731,802
1268,MODE-1731,803
1273,MODE-1722,804
1274,MODE-1722,224
1275,MODE-1722,805
1276,MODE-1721,304
1277,MODE-1721,176
1278,MODE-1720,719
1279,MODE-1720,723
1280,MODE-1720,39
1281,MODE-1720,95
1282,MODE-1720,197
1283,MODE-1720,806
1284,MODE-1720,807
1285,MODE-1720,808
1286,MODE-1720,809
1287,MODE-1720,810
1288,MODE-1720,811
1289,MODE-1720,812
1290,MODE-1720,813
1291,MODE-1720,814
1292,MODE-1720,815
1293,MODE-1720,816
1294,MODE-1720,817
1295,MODE-1720,818
1296,MODE-1720,248
1297,MODE-1720,819
1298,MODE-1720,820
1299,MODE-1720,821
1300,MODE-1720,822
1301,MODE-1720,823
1302,MODE-1720,824
1303,MODE-1720,825
1304,MODE-1720,826
1305,MODE-1720,827
1306,MODE-1720,541
1307,MODE-1720,751
1308,MODE-1720,298
1309,MODE-1720,828
1310,MODE-1720,829
1311,MODE-1720,830
1312,MODE-1720,831
1313,MODE-1720,832
1314,MODE-1720,833
1315,MODE-1720,834
1316,MODE-1720,835
1317,MODE-1720,836
1318,MODE-1720,327
1319,MODE-1720,837
1320,MODE-1720,838
1321,MODE-1720,839
1322,MODE-1720,840
1323,MODE-1720,202
1325,MODE-1720,304
1326,MODE-1720,841
1328,MODE-1720,842
1330,MODE-1720,267
1331,MODE-1717,140
1332,MODE-1717,746
1333,MODE-1717,843
1336,MODE-1715,695
1337,MODE-1715,266
1338,MODE-1700,844
1339,MODE-1700,845
1340,MODE-1700,846
1341,MODE-1700,847
1342,MODE-1700,848
1343,MODE-1700,19
1344,MODE-1700,849
1345,MODE-1700,850
1346,MODE-1700,851
1347,MODE-1700,852
1348,MODE-1700,228
1349,MODE-1700,853
1350,MODE-1700,854
1351,MODE-1700,855
1352,MODE-1700,856
1353,MODE-1700,857
1355,MODE-1700,858
1356,MODE-1700,859
1357,MODE-1700,860
1363,MODE-1700,861
1365,MODE-1700,862
1368,MODE-1700,213
1369,MODE-1700,863
1370,MODE-1700,864
1371,MODE-1700,865
1373,MODE-1700,778
1374,MODE-1700,866
1396,MODE-1693,263
1397,MODE-1693,140
1400,MODE-1693,843
1401,MODE-1693,879
1402,MODE-1692,490
1403,MODE-1691,347
1404,MODE-1691,695
1405,MODE-1691,880
1406,MODE-1691,881
1407,MODE-1691,882
1408,MODE-1690,883
1409,MODE-1690,552
1410,MODE-1690,884
1411,MODE-1690,619
1412,MODE-1690,885
1413,MODE-1690,556
1414,MODE-1690,47
1415,MODE-1690,886
1416,MODE-1690,887
1417,MODE-1690,888
1418,MODE-1690,231
1419,MODE-1690,581
1420,MODE-1690,238
1421,MODE-1690,492
1422,MODE-1690,503
1423,MODE-1690,593
1424,MODE-1690,582
1425,MODE-1690,594
1426,MODE-1690,133
1427,MODE-1690,889
1428,MODE-1690,890
1429,MODE-1690,345
1430,MODE-1690,268
1435,MODE-1689,891
1436,MODE-1689,637
1437,MODE-1687,268
1438,MODE-1687,224
1439,MODE-1687,892
1440,MODE-1687,893
1441,MODE-1685,338
1442,MODE-1685,176
1443,MODE-1685,369
1445,MODE-1685,370
1446,MODE-1685,371
1447,MODE-1685,372
1448,MODE-1685,373
1449,MODE-1681,894
1450,MODE-1679,304
1451,MODE-1679,588
1452,MODE-1679,895
1453,MODE-1679,114
1454,MODE-1679,896
1455,MODE-1674,897
1456,MODE-1674,898
1457,MODE-1674,386
1458,MODE-1674,899
1459,MODE-1674,73
1460,MODE-1674,900
1461,MODE-1674,901
1462,MODE-1674,902
1463,MODE-1674,903
1464,MODE-1674,580
1465,MODE-1674,111
1466,MODE-1674,203
1467,MODE-1674,187
1468,MODE-1674,41
1474,MODE-1670,388
1475,MODE-1665,904
1476,MODE-1665,622
1477,MODE-1665,905
1478,MODE-1665,906
1479,MODE-1665,723
1480,MODE-1665,907
1481,MODE-1665,908
