,diff,commit_id,summary,commit_time,files
0,"@@ -3,3 +3,4 @@ target
 .project
 .classpath
 bin
",80,,,
1,"@@ -1,5 +1,5 @@
 /*
  * JBoss, Home of Professional Open Source.
  * See the COPYRIGHT.txt file distributed with this work for information
  * regarding copyright ownership.  Some portions may be licensed
  * to Red Hat, Inc. under one or more contributor license agreements.
@@ -1099,9 +1099,15 @@ public ModelNode wrap(SessionMetadata session, ModelNode node) {
 			if (session.getApplicationName() != null) {
 				node.get(APPLICATION_NAME).set(session.getApplicationName());
 			}
 			node.get(CREATED_TIME).set(session.getCreatedTime());
 			node.get(CLIENT_HOST_NAME).set(session.getClientHostName());
 			node.get(IP_ADDRESS).set(session.getIPAddress());
 			node.get(LAST_PING_TIME).set(session.getLastPingTime());
 			node.get(SESSION_ID).set(session.getSessionId());
 			node.get(USER_NAME).set(session.getUserName());
@@ -1126,8 +1132,15 @@ public SessionMetadata unwrap(ModelNode node) {
 				session.setApplicationName(node.get(APPLICATION_NAME).asString());
 			}
 			session.setCreatedTime(node.get(CREATED_TIME).asLong());
 			session.setClientHostName(node.get(CLIENT_HOST_NAME).asString());
 			session.setIPAddress(node.get(IP_ADDRESS).asString());
 			session.setLastPingTime(node.get(LAST_PING_TIME).asLong());
 			session.setSessionId(node.get(SESSION_ID).asString());
 			session.setUserName(node.get(USER_NAME).asString());
",73,,,
2,"@@ -29,6 +29,7 @@
 import java.util.Collection;
 import java.util.LinkedList;
 import java.util.List;
 import java.util.concurrent.ConcurrentHashMap;
 import java.util.concurrent.ConcurrentMap;
 
@@ -53,14 +54,25 @@
 import org.teiid.dqp.internal.process.DQPCore;
 import org.teiid.dqp.internal.process.DQPWorkContext;
 import org.teiid.dqp.service.SessionServiceException;
 import org.teiid.logging.LogConstants;
 import org.teiid.logging.LogManager;
 import org.teiid.logging.MessageLevel;
 import org.teiid.net.ConnectionException;
 import org.teiid.net.socket.AuthenticationType;
 import org.teiid.security.SecurityHelper;
 import org.teiid.services.SessionServiceImpl;
 import org.teiid.transport.*;
 
 public class TransportService implements Service<ClientServiceRegistry>, ClientServiceRegistry {
 	private enum Protocol {teiid, pg};
@@ -161,7 +173,26 @@ public ClassLoader getCallerClassloader() {
     		}
     		else if (protocol == Protocol.pg) {
         		getVdbRepository().odbcEnabled();
         		ODBCSocketListener odbc = new ODBCSocketListener(address, this.socketConfig, this.csr, getBufferManagerInjector().getValue(), getMaxODBCLobSizeAllowed(), this.logon);
         		odbc.setAuthenticationType(this.sessionService.getAuthenticationType());
         		this.socketListener = odbc;
     	    	LogManager.logInfo(LogConstants.CTX_RUNTIME, IntegrationPlugin.Util.gs(IntegrationPlugin.Event.TEIID50037, address.getHostName(), String.valueOf(address.getPort()), (sslEnabled?""ON"":""OFF""), authenticationDomains)); //$NON-NLS-1$ //$NON-NLS-2$
",63,,,
3,"@@ -38,11 +38,11 @@ public class ODBCSocketListener extends SocketListener {
 	private TeiidDriver driver;
 	private ILogon logonService;
 	
 	public ODBCSocketListener(InetSocketAddress address, SocketConfiguration config, final ClientServiceRegistryImpl csr, StorageManager storageManager, int maxLobSize, ILogon logon) {
 		//the clientserviceregistry isn't actually used by ODBC 
 		super(address, config, csr, storageManager);
 		this.maxLobSize = maxLobSize;
 		this.driver = new TeiidDriver();
 		this.logonService = logon;
 	}
 	
",81,,,
4,"@@ -128,13 +128,13 @@ public void start() throws Exception {
 			addr = new InetSocketAddress(0);
 			config.setBindAddress(addr.getHostName());
 			config.setPortNumber(addr.getPort());
 			odbcTransport = new ODBCSocketListener(addr, config, Mockito.mock(ClientServiceRegistryImpl.class), BufferManagerFactory.getStandaloneBufferManager(), 100000, Mockito.mock(ILogon.class));
 			odbcTransport.setMaxBufferSize(1000); //set to a small size to ensure buffering over the limit works
 			FakeServer server = new FakeServer(true);
 			server.setUseCallingThread(false);
 			server.deployVDB(""parts"", UnitTestUtil.getTestDataPath() + ""/PartsSupplier.vdb"");
 			
 			odbcTransport.setDriver(server.getDriver());
 		}
 		
 		public void stop() {
",82,,,
5,"@@ -31,8 +31,12 @@
 import java.security.KeyStore;
 import java.security.KeyStoreException;
 import java.security.NoSuchAlgorithmException;
 import java.security.cert.CertificateException;
 import java.util.Arrays;
 import java.util.Properties;
 import java.util.logging.Logger;
 
@@ -42,6 +46,7 @@
 import javax.net.ssl.SSLSocket;
 import javax.net.ssl.TrustManager;
 import javax.net.ssl.TrustManagerFactory;
 
 import org.teiid.core.util.PropertiesUtils;
 import org.teiid.jdbc.JDBCPlugin;
@@ -64,6 +69,7 @@ public class SocketUtil {
     static final String KEYSTORE_PASSWORD = ""org.teiid.ssl.keyStorePassword""; //$NON-NLS-1$
     static final String KEYSTORE_FILENAME = ""org.teiid.ssl.keyStore""; //$NON-NLS-1$
     public static final String ALLOW_ANON = ""org.teiid.ssl.allowAnon""; //$NON-NLS-1$
     
     static final String DEFAULT_KEYSTORE_TYPE = ""JKS""; //$NON-NLS-1$
     
@@ -98,7 +104,8 @@ public static SSLSocketFactory getSSLSocketFactory(Properties props) throws IOEx
         String keystoreProtocol = props.getProperty(PROTOCOL, DEFAULT_PROTOCOL); 
         String keystoreAlgorithm = props.getProperty(KEYSTORE_ALGORITHM); 
         String truststore = props.getProperty(TRUSTSTORE_FILENAME, keystore); 
         String truststorePassword = props.getProperty(TRUSTSTORE_PASSWORD, keystorePassword); 
         
         boolean anon = PropertiesUtils.getBooleanProperty(props, ALLOW_ANON, true);
         
@@ -110,10 +117,10 @@ public static SSLSocketFactory getSSLSocketFactory(Properties props) throws IOEx
         // 3) else = javax properties; this is default way to define the SSL anywhere.
         if (keystore != null) {
             // 2 way SSL
             result = getClientSSLContext(keystore, keystorePassword, truststore, truststorePassword, keystoreAlgorithm, keystoreType, keystoreProtocol);
         } else  if(truststore != null) {
             // One way SSL with custom properties defined
             result = getClientSSLContext(null, null, truststore, truststorePassword, keystoreAlgorithm, keystoreType, keystoreProtocol);
         } else {
         	result = SSLContext.getDefault();
         }
@@ -130,8 +137,9 @@ static SSLContext getClientSSLContext(String keystore,
                                             String truststorePassword,
                                             String algorithm,
                                             String keystoreType,
                                             String protocol) throws IOException, GeneralSecurityException {
         return getSSLContext(keystore, password, truststore, truststorePassword, algorithm, keystoreType, protocol);
     }
     
     public static boolean addCipherSuite(SSLSocket engine, String cipherSuite) {
@@ -151,7 +159,7 @@ public static boolean addCipherSuite(SSLSocket engine, String cipherSuite) {
     }
 
     public static SSLContext getAnonSSLContext() throws IOException, GeneralSecurityException {
         return getSSLContext(null, null, null, null, null, null, DEFAULT_PROTOCOL);
     }
     
     public static SSLContext getSSLContext(String keystore,
@@ -160,7 +168,8 @@ public static SSLContext getSSLContext(String keystore,
                                             String truststorePassword,
                                             String algorithm,
                                             String keystoreType,
                                             String protocol) throws IOException, GeneralSecurityException {
         
     	if (algorithm == null) {
     		algorithm = KeyManagerFactory.getDefaultAlgorithm();
@@ -170,9 +179,22 @@ public static SSLContext getSSLContext(String keystore,
         if (keystore != null) {
             KeyStore ks = loadKeyStore(keystore, password, keystoreType);
             if (ks != null) {
                 KeyManagerFactory kmf = KeyManagerFactory.getInstance(algorithm);
                 kmf.init(ks, password.toCharArray());
                 keyManagers = kmf.getKeyManagers();
             }
         }
         
@@ -225,4 +247,43 @@ public static KeyStore loadKeyStore(String name, String password, String type) t
         return ks;
     }
 
 }
",9,,,
6,"@@ -174,4 +174,5 @@ unexpected_element=Unexpected Element {0} encountered, expecting one of {1}
 ambigious_gss_selection=Either configure ""java.security.krb5.conf"" property or combination of ""java.security.krb5.realm"" and ""java.security.krb5.kdc"" properties. Not both.
 no_gss_selection=No KRB5 configuration found. Either configure ""java.security.krb5.conf"" property or combination of ""java.security.krb5.realm"" and ""java.security.krb5.kdc"" properties.
 TEIID20029={0} value outside of 32-bit value range.  Please set the system property org.teiid.longDatesTimes to true to avoid this error.
 TEIID20030=The position cannot be set by a blocking call in asynch mode as the results have not yet been formed. 
\ No newline at end of file
\ No newline at end of file
",83,,,
7,"@@ -36,6 +36,12 @@ org.teiid.ssl.keyStoreType=JKS
 
 #org.teiid.ssl.keyStorePassword=
 
 #
 # The classpath or filesystem location of the
 # trust store.
",84,,,
8,"@@ -122,6 +122,7 @@ enum Element {
 	SSL_ENABLED_CIPHER_SUITES_ATTRIBUTE(""enabled-cipher-suites"", ""enabled-cipher-suites"", ModelType.STRING, false, null),
 	SSL_KETSTORE_ELEMENT(""keystore""),
 	SSL_KETSTORE_NAME_ATTRIBUTE(""name"", ""keystore-name"", ModelType.STRING, false, null),
 	SSL_KETSTORE_PASSWORD_ATTRIBUTE(""password"", ""keystore-password"", ModelType.EXPRESSION, false, null),
 	SSL_KETSTORE_TYPE_ATTRIBUTE(""type"", ""keystore-type"", ModelType.STRING, false, ""JKS""),
 	SSL_TRUSTSTORE_ELEMENT(""truststore""),
",85,,,
9,"@@ -168,6 +168,7 @@ private void writeTransportConfiguration( XMLExtendedStreamWriter writer, ModelN
 				writeAttribute(writer, Element.SSL_KETSTORE_NAME_ATTRIBUTE, node);
 				writeAttribute(writer, Element.SSL_KETSTORE_PASSWORD_ATTRIBUTE, node);
 				writeAttribute(writer, Element.SSL_KETSTORE_TYPE_ATTRIBUTE, node);
 				writer.writeEndElement();
 			}
 			
@@ -543,6 +544,10 @@ private ModelNode parseKeystore(XMLExtendedStreamReader reader, ModelNode node)
     				node.get(element.getModelName()).set(attrValue);
     				break;
 
     			default:
     				throw ParseUtils.unexpectedAttribute(reader, i);    			
     			}
",86,,,
10,"@@ -91,7 +91,8 @@ class TransportAdd extends AbstractAddStepHandler implements DescriptionProvider
 		Element.SSL_KETSTORE_PASSWORD_ATTRIBUTE,
 		Element.SSL_KETSTORE_TYPE_ATTRIBUTE,
 		Element.SSL_TRUSTSTORE_NAME_ATTRIBUTE,
 		Element.SSL_TRUSTSTORE_PASSWORD_ATTRIBUTE
 		
 	};
 	
@@ -266,6 +267,10 @@ private SocketConfiguration buildSocketConfiguration(final OperationContext cont
     		ssl.setKeystoreFilename(Element.SSL_KETSTORE_NAME_ATTRIBUTE.asString(node, context));
     	}	
     	
     	if (Element.SSL_ENABLED_CIPHER_SUITES_ATTRIBUTE.isDefined(node)) {
     		ssl.setEnabledCipherSuites(Element.SSL_ENABLED_CIPHER_SUITES_ATTRIBUTE.asString(node, context));
     	}
",63,,,
11,"@@ -160,6 +160,7 @@ ssl-ssl-protocol.describe=SSL protocol used
 ssl-keymanagement-algorithm.describe=Use key management algorithm
 enabled-cipher-suites.describe=Cipher suites that are allowed to be used for SSL. Use to restrict encryption strength(128 bit, 256 bit). Only provide encryption suites that are supported by both client and server JVM. ex:SSL_RSA_WITH_RC4_128_MD5, SSL_RSA_WITH_RC4_128_SHA, SSL_RSA_WITH_3DES_EDE_CBC_SHA, SSL_DHE_DSS_WITH_3DES_EDE_CBC_SHA, SSL_DHE_RSA_WITH_3DES_EDE_CBC_SHA, TLS_DHE_RSA_WITH_AES_128_CBC_SHA, TLS_DHE_DSS_WITH_AES_128_CBC_SHA, TLS_KRB5_WITH_RC4_128_MD5, TLS_KRB5_WITH_RC4_128_SHA, TLS_RSA_WITH_AES_128_CBC_SHA, TLS_KRB5_WITH_3DES_EDE_CBC_MD5, TLS_KRB5_WITH_3DES_EDE_CBC_SHA, TLS_DHE_RSA_WITH_AES_256_CBC_SHA, TLS_DHE_DSS_WITH_AES_256_CBC_SHA, TLS_RSA_WITH_AES_256_CBC_SHA
 keystore-name.describe=Keystore File Name
 keystore-password.describe=Keystore password
 keystore-type.describe=Keystore type
 truststore-name.describe=Truststore Name
",87,,,
12,"@@ -321,6 +321,11 @@
                                         <xs:documentation>Keystore Type</xs:documentation>
                                     </xs:annotation>                    
                                 </xs:attribute>
                             </xs:complexType>                        
                         </xs:element>
                         <xs:element name=""truststore"" minOccurs=""0"" maxOccurs=""1"">
",88,,,
13,"@@ -109,5 +109,10 @@
         ""type"" => EXPRESSION,
         ""description"" => ""Truststore Password"",
         ""required"" => false
     }
 }}
\ No newline at end of file
",89,,,
14,"@@ -60,6 +60,7 @@ public class SSLConfiguration {
     private String trustStorePassword = """"; //$NON-NLS-1$
     private String authenticationMode = ONEWAY;
     private String[] enabledCipherSuites;
     
 
 	public SSLEngine getServerSSLEngine() throws IOException, GeneralSecurityException {
@@ -79,7 +80,8 @@ public SSLEngine getServerSSLEngine() throws IOException, GeneralSecurityExcepti
                                     trustStorePassword,
                                     keyManagerFactoryAlgorithm,
                                     keyStoreType,
                                     sslProtocol);
         } 
 
         SSLEngine result = context.createSSLEngine();
@@ -157,4 +159,8 @@ public void setEnabledCipherSuites(String enabledCipherSuites) {
 	public String[] getEnabledCipherSuitesAsArray() {
 		return enabledCipherSuites;
 	}
 }
",90,,,
15,"@@ -363,5 +363,11 @@ public void undeploy(final DeploymentUnit deploymentUnit) {
         if (controller != null) {
             controller.setMode(ServiceController.Mode.REMOVE);
         }
 	}
 }
",91,,,
