,issue_id,issue_comments,issue_desc,created_at,closed_at
0,TEIID-2260,"Hi,

We have the following configuration setup in our teiid 8.2 aplha 2 environment running on eap6
{noformat}
            <transport name=""jdbc"" socket-binding=""teiid-jdbc"">
                <authentication security-domain=""REDHAT.COM""/>
                <ssl mode=""enabled"" ssl-protocol=""SSLv3"" keymanagement-algorithm=""SunX509"">
                    <keystore name=""/etc/jbossas/standalone/jboss.keystore"" password=""changeit""/>
                </ssl>
            </transport>
            <transport name=""odbc"" socket-binding=""teiid-odbc"" protocol=""pg"">
                <authentication security-domain=""REDHAT.COM""/>
                <ssl mode=""enabled"" ssl-protocol=""SSLv3"" keymanagement-algorithm=""SunX509"">
                    <keystore name=""/etc/jbossas/standalone/jboss.keystore"" password=""changeit""/>
                </ssl>
            </transport>
{noformat}

With out security configuration looking like

{noformat}
                <security-domain name=""host"" cache-type=""default"">
                    <authentication>
                        <login-module code=""Kerberos"" flag=""required"">
                            <module-option name=""storeKey"" value=""true""/>
                            <module-option name=""useKeyTab"" value=""true""/>
                            <module-option name=""principal"" value=""HTTP/REMOVED_HOSTNAME@REDHAT.COM""/>
                            <module-option name=""keyTab"" value=""/etc/jbossas/standalone/jboss.keytab""/>
                            <module-option name=""doNotPrompt"" value=""true""/>
                            <module-option name=""debug"" value=""true""/>
                        </login-module>
                    </authentication>
                </security-domain>
                <security-domain name=""fallback"" cache-type=""default"">
                    <authentication>
                        <login-module code=""Kerberos"" flag=""required"">
                            <module-option name=""useTicketCache"" value=""true""/>
                            <module-option name=""useKeyTab"" value=""false""/>
                            <module-option name=""doNotPrompt"" value=""true""/>
                            <module-option name=""debug"" value=""true""/>
                        </login-module>
                    </authentication>
                </security-domain>
                <security-domain name=""REDHAT.COM"" cache-type=""default"">
                    <authentication>
                        <login-module code=""SPNEGO"" flag=""requisite"">
                            <module-option name=""password-stacking"" value=""useFirstPass""/>
                            <module-option name=""serverSecurityDomain"" value=""host""/>
                            <module-option name=""removeRealmFromPrincipal"" value=""true""/>
                            <module-option name=""usernamePasswordDomain"" value=""fallback""/>
                        </login-module>
                    </authentication>
                </security-domain>
{noformat}

And the security seems to work as expected for the JDBC connection, but when we try to connect via ODBC to port 35432 it simply allows us to connect regardless of any username/password combination we use. We tried even switching back to just basic username/password login module (against flat files) with same results.",,,
5,TEIID-2294,"From the teiid 8.1 schema (jboss-teiid.xsd) under docs, there is no ""alias"" attribute defined for jdbc transport layer. Here is the question:  in the case of there are multiple certificates defined at  keysore, what certificate jdbc ssl will use? How to specify correct one to use?

 
Here is the sample teiid jdbc configuration used:

   <transport name=""jdbc"" socket-binding=""teiid-jdbc"">
      <authentication security-domain=""mysecuritydomain""/>
      <ssl mode=""enabled"" keymanagement-algorithm=""SunX509"">
          <keystore name=""/opt/test.keystore"" password=""password""/>
      </ssl>
   </transport>

",,,
15,TEIID-2310,"During the vdb-import testing found couple issues

1) VDB-Import information is not available, when a vdb that has vdb-import defined, and queried through CLI or Teiid Console, Admin Shell.

2) VDB is not properly re-loading, when dependent VDB has been re-deployed. For example, if we have 3 vdbs

PartsTop_VDB.vdb -> imports -> PartsCommon_View.vdb -> imports -> PartsCommon_Root.vdb

then if we do deploy of all the vdbs in any order, we will have all the 3 VDBS available in server. Then if you, undeploy

undeploy PartsCommon_View.vdb

then it will remove ""PartsCommon_View.vdb"" and also ""PartsTop_VDB.vdb"" as it depends on it. 

However, upon re-deployment of ""PartsCommon_View.vdb"" the ""PartsTop_VDB.vdb"" should come up with out any issues, but it does not.

",,,
258,TEIID-4002,"To improve the usability of JDG as a materialized data source, the resource-adapter needs to be changed to not require the marshaller/protobuf file when the the pojo class has the defined annotations for specifying the schema.   

Currently, the marshaller(s) and protobuf are required.",,,
334,TEIID-4277,"When user tries to query materialized view in a moment when its loading is in progress, incomplete results are returned. The status of the view in corresponding status table is LOADING.
Vdb used:
{code:xml}
<?xml version=""1.0"" encoding=""UTF-8""?>
<vdb name=""jdg-remote"" version=""1"">
  <description>For testing of materialized views</description>
  <property name =""lib"" value =""org.jboss.qe.jdg.pojos""></property>
  <model name=""jdgSource"">
    <source name=""jdgSource"" translator-name=""jdg-override""
      connection-jndi-name=""java:/jdg-mat-ds"" />
      <metadata type=""DDL""><![CDATA[
        CREATE FOREIGN TABLE CustomerReport(
        customerId integer not null OPTIONS (SEARCHABLE 'Searchable', NATIVE_TYPE 'int'),
        totalAmount integer,
        CONSTRAINT PK_ID PRIMARY KEY(customerId)
        ) OPTIONS (NAMEINSOURCE '${db.table.prefix}jdg-mat', UPDATABLE TRUE);]]>
      </metadata>
  </model>
  <model name=""h2Source"">
    <source name=""h2Source"" translator-name=""h2"" connection-jndi-name=""java:/h2-ds"" />
  </model>
  <model name=""View"" type=""VIRTUAL"">
    <metadata type=""DDL""><![CDATA[
        CREATE VIEW external_long_ttl (
           customerId integer NOT NULL,
           totalAmount integer
        ) OPTIONS (MATERIALIZED 'TRUE',
            MATERIALIZED_TABLE 'jdgSource.CustomerReport',
            ""teiid_rel:ALLOW_MATVIEW_MANAGEMENT"" 'true',
            ""teiid_rel:MATVIEW_LOAD_SCRIPT"" 'INSERT INTO jdgSource.CustomerReport(customerId,totalAmount) SELECT c.id AS customerId, CONVERT(SUM(o.amount),integer) AS totalAmount FROM DV_MATVIEWS_CUSTOMERS c INNER JOIN DV_MATVIEWS_ORDERS o ON c.id = o.customer_id GROUP BY c.id;',
            ""teiid_rel:MATVIEW_STATUS_TABLE"" 'h2Source.DB.PUBLIC.DV_MATVIEWS_STATUSTABLE',
            ""teiid_rel:MATVIEW_BEFORE_LOAD_SCRIPT"" 'execute jdgSource.native(''truncate cache'');',
            ""teiid_rel:MATVIEW_AFTER_LOAD_SCRIPT"" 'execute jdgSource.native(''swap cache names'');',
            ""teiid_rel:MATVIEW_ONERROR_ACTION"" 'WAIT',
            ""teiid_rel:MATVIEW_TTL"" 10000
        )
            AS SELECT c.id AS customerId, CONVERT(SUM(o.amount),integer) AS totalAmount FROM DV_MATVIEWS_CUSTOMERS c INNER JOIN DV_MATVIEWS_ORDERS o ON c.id = o.customer_id GROUP BY c.id;
     ]]>
    </metadata>
  </model>
  <translator name=""jdg-override"" type=""infinispan-cache-dsl"">
    <property name=""SupportsDirectQueryProcedure"" value=""true"" />
  </translator>
</vdb>
{code}
Resource-adapter used:
{code:xml}
<resource-adapter id=""jdg-mat"">
    <module slot=""main"" id=""org.jboss.teiid.resource-adapter.infinispan.dsl""/>
    <connection-definitions>
        <connection-definition class-name=""org.teiid.resource.adapter.infinispan.dsl.InfinispanManagedConnectionFactory"" jndi-name=""java:/jdg-mat-ds"" enabled=""true"" pool-name=""jdg-mat"">
            <config-property name=""ProtobufDefinitionFile"">
                /org/jboss/qe/jdg/remote/protobuf/CustomerReport.proto
            </config-property>
            <config-property name=""AliasCacheName"">
                ${db.table.prefix}jdg-alias
            </config-property>
            <config-property name=""MessageMarshallers"">
                org.jboss.qe.jdg.pojo.CustomerReport:org.jboss.qe.jdg.remote.marshaller.CustomerReportMarshaller
            </config-property>
            <config-property name=""RemoteServerList"">
                [remote-server-address]:11322
            </config-property>
            <config-property name=""StagingCacheName"">
                ${db.table.prefix}jdg-mat-stage
            </config-property>
            <config-property name=""CacheTypeMap"">
                ${db.table.prefix}jdg-mat:org.jboss.qe.jdg.pojo.CustomerReport;customerId
            </config-property>
            <config-property name=""MessageDescriptor"">
                org.jboss.qe.jdg.remote.protobuf.CustomerReport
            </config-property>
            <config-property name=""Module"">
                org.jboss.qe.jdg.pojos
            </config-property>
        </connection-definition>
    </connection-definitions>
</resource-adapter>
{code}
Datasource used (tables that the view queries):
{code:xml}
<xa-datasource jndi-name=""java:/h2-ds"" pool-name=""h2-xa-ds"" enabled=""true"">
    <xa-datasource-property name=""URL"">
        jdbc:h2:tcp://localhost:9292/db;TRACE_LEVEL_FILE=4
    </xa-datasource-property>
    <driver>h2</driver>
    <security>
        <user-name>sa</user-name>
    </security>
</xa-datasource>
{code}
Query invoked to check current contents of materialized view:
{code:sql}
SELECT COUNT(*) FROM external_long_ttl;
{code}
And expected result is the same as count of DV_MATVIEWS_CUSTOMERS table from source h2Source. In my case 10.
But when I print out the result I get all numbers from 0 to 10 . See attached log output (search for 'check-count:')",,,
368,TEIID-3170,"The ""org.springframework.spring"" module and dependent jars will be added to the kit.",,,
371,TEIID-3171,"When trying to connect via JDBC using GSS authentication, the follwing exception is thrown if Credential Delegation is not enabled. Via ODBC, same setup works fine.

2014-10-14 11:22:35,199 INFO  [org.teiid.SECURITY] (New I/O worker #4:) TEIID40017 Unexpected exception for session null: java.lang.NullPointerException
        at java.util.Hashtable.put(Hashtable.java:514)
        at org.teiid.transport.LogonImpl.neogitiateGssLogin(LogonImpl.java:197)
        at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
        at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
        at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
        at java.lang.reflect.Method.invoke(Method.java:606)
        at org.teiid.transport.ServerWorkItem.run(ServerWorkItem.java:87)
        at org.teiid.dqp.internal.process.DQPWorkContext.runInContext(DQPWorkContext.java:274)
        at org.teiid.transport.SocketClientInstance.processMessagePacket(SocketClientInstance.java:207)
        at org.teiid.transport.SocketClientInstance.receivedMessage(SocketClientInstance.java:193)
        at org.teiid.transport.SSLAwareChannelHandler.messageReceived(SSLAwareChannelHandler.java:211)",,,
372,TEIID-4125,"I don't know if this is a Teiid or Teiid Designer issue.

When I generate a SOAP war from VDB and try to deploy it to server, I get following exception:

{code}
Deployment failed: ProductInfoVdb.war: {""outcome"" : ""failed"", ""failure-description"" : {""JBAS014671: Failed services"" : {""jboss.deployment.unit.\""ProductInfoVdb.war\"".INSTALL"" : ""org.jboss.msc.service.StartException in service jboss.deployment.unit.\""ProductInfoVdb.war\"".INSTALL: JBAS018733: Failed to process phase INSTALL of deployment \""ProductInfoVdb.war\""\n Caused by: java.lang.NoClassDefFoundError: org/apache/commons/logging/LogFactory\n Caused by: java.lang.ClassNotFoundException: org.apache.commons.logging.LogFactory from [Module \""org.springframework.spring:main\"" from local module loader @ed17bee (finder: local module finder @2a33fae0 (roots: /Users/mmakovy/server-installer/dv-6.3.0.DR3/target/jboss-eap-6.4/modules,/Users/mmakovy/server-installer/dv-6.3.0.DR3/target/jboss-eap-6.4/modules/system/layers/dv,/Users/mmakovy/server-installer/dv-6.3.0.DR3/target/jboss-eap-6.4/modules/system/layers/base/.overlays/layer-base-jboss-eap-6.4.3.CP,/Users/mmakovy/server-installer/dv-6.3.0.DR3/target/jboss-eap-6.4/modules/system/layers/base))]""}}, ""rolled-back"" : true}
{code}

The whole ""test script"" should be accessible here: https://mojo.redhat.com/docs/DOC-995324

This happens *only with DV-6.3.0.DR3*. When I deploy this war to DV 6.2 server, everything works as expected.

I attached project in zip file (Untitled.zip) and generated WAR. The WAR file was generated in TD 10.0.0.Beta2, but I tried to generate the war in 9.0.5 Designer and the result was the same. 

I marked this as Critical, but if it is a Designer issue I think it should be marked as blocker.
",,,
373,TEIID-4478,The 1-to-1 relationship currently doesn't work or produce an exception.   It appears to not be specifically handled.,,,
403,TEIID-4299,"The object translator wasn't handling the setting of null values when its tried to be set on a native attribute (i.e., long, int, boolean).",,,
