,issue_id,commit_id
0,TEIID-2260,80
1,TEIID-2260,73
2,TEIID-2260,63
3,TEIID-2260,81
4,TEIID-2260,82
5,TEIID-2294,9
6,TEIID-2294,83
7,TEIID-2294,84
8,TEIID-2294,85
9,TEIID-2294,86
10,TEIID-2294,63
11,TEIID-2294,87
12,TEIID-2294,88
13,TEIID-2294,89
14,TEIID-2294,90
15,TEIID-2310,91
16,TEIID-2310,92
17,TEIID-2310,93
258,TEIID-4002,293
259,TEIID-4002,28
260,TEIID-4002,65
261,TEIID-4002,34
262,TEIID-4002,49
263,TEIID-4002,294
264,TEIID-4002,40
265,TEIID-4002,43
266,TEIID-4002,8
267,TEIID-4002,10
268,TEIID-4002,295
269,TEIID-4002,296
270,TEIID-4002,297
271,TEIID-4002,298
272,TEIID-4002,62
273,TEIID-4002,299
274,TEIID-4002,300
275,TEIID-4002,301
276,TEIID-4002,64
277,TEIID-4002,302
278,TEIID-4002,303
279,TEIID-4002,304
280,TEIID-4002,305
281,TEIID-4002,66
282,TEIID-4002,306
283,TEIID-4002,307
284,TEIID-4002,17
285,TEIID-4002,308
286,TEIID-4002,309
287,TEIID-4002,310
288,TEIID-4002,311
289,TEIID-4002,312
290,TEIID-4002,47
291,TEIID-4002,313
292,TEIID-4002,77
293,TEIID-4002,74
294,TEIID-4002,68
295,TEIID-4002,314
296,TEIID-4002,315
297,TEIID-4002,316
298,TEIID-4002,317
299,TEIID-4002,318
300,TEIID-4002,319
301,TEIID-4002,320
302,TEIID-4002,321
303,TEIID-4002,322
304,TEIID-4002,75
305,TEIID-4002,16
306,TEIID-4002,70
307,TEIID-4002,323
308,TEIID-4002,324
309,TEIID-4002,325
310,TEIID-4002,326
311,TEIID-4002,327
312,TEIID-4002,14
313,TEIID-4002,52
314,TEIID-4002,21
315,TEIID-4002,35
316,TEIID-4002,36
317,TEIID-4002,59
318,TEIID-4002,328
319,TEIID-4002,329
320,TEIID-4002,330
321,TEIID-4002,331
322,TEIID-4002,332
323,TEIID-4002,60
324,TEIID-4002,333
325,TEIID-4002,334
326,TEIID-4002,31
327,TEIID-4002,335
328,TEIID-4002,336
329,TEIID-4002,337
330,TEIID-4002,338
331,TEIID-4002,339
332,TEIID-4002,340
333,TEIID-4002,235
334,TEIID-4277,28
335,TEIID-4277,34
336,TEIID-4277,299
337,TEIID-4277,300
338,TEIID-4277,301
339,TEIID-4277,302
340,TEIID-4277,303
341,TEIID-4277,70
342,TEIID-4277,325
343,TEIID-4277,23
344,TEIID-4277,341
345,TEIID-4277,342
346,TEIID-4277,53
347,TEIID-4277,329
348,TEIID-4277,343
349,TEIID-4277,330
350,TEIID-4277,331
352,TEIID-4277,344
353,TEIID-4277,332
354,TEIID-4277,60
355,TEIID-4277,334
356,TEIID-4277,336
357,TEIID-4277,345
358,TEIID-4277,346
359,TEIID-4277,67
360,TEIID-4277,340
361,TEIID-4277,61
363,TEIID-4277,347
364,TEIID-4277,348
365,TEIID-4277,349
366,TEIID-4277,350
367,TEIID-4277,351
368,TEIID-3170,352
369,TEIID-3170,353
370,TEIID-3170,354
371,TEIID-3171,79
372,TEIID-4125,353
373,TEIID-4478,28
374,TEIID-4478,34
375,TEIID-4478,49
376,TEIID-4478,355
377,TEIID-4478,356
378,TEIID-4478,357
379,TEIID-4478,40
380,TEIID-4478,43
381,TEIID-4478,10
382,TEIID-4478,76
383,TEIID-4478,16
384,TEIID-4478,70
385,TEIID-4478,358
386,TEIID-4478,359
387,TEIID-4478,360
388,TEIID-4478,361
389,TEIID-4478,23
390,TEIID-4478,36
391,TEIID-4478,59
392,TEIID-4478,362
393,TEIID-4478,363
394,TEIID-4478,364
395,TEIID-4478,330
396,TEIID-4478,332
397,TEIID-4478,334
398,TEIID-4478,365
399,TEIID-4478,366
400,TEIID-4478,351
403,TEIID-4299,342
404,TEIID-4299,344
405,TEIID-4299,332
406,TEIID-4299,60
407,TEIID-4299,345
408,TEIID-4299,346
409,TEIID-4299,67
410,TEIID-4299,348
411,TEIID-4299,349
415,TEIID-2999,369
416,TEIID-4112,37
417,TEIID-4112,41
423,TEIID-3219,375
424,TEIID-3219,376
425,TEIID-3241,377
426,TEIID-3241,378
448,TEIID-3204,391
449,TEIID-3204,392
450,TEIID-3204,235
451,TEIID-2786,4
452,TEIID-2786,393
453,TEIID-2786,369
454,TEIID-2786,394
455,TEIID-2786,395
456,TEIID-2786,396
457,TEIID-3922,397
458,TEIID-4291,342
459,TEIID-4291,344
460,TEIID-4291,332
461,TEIID-4291,60
462,TEIID-4291,345
463,TEIID-4291,346
464,TEIID-4291,67
465,TEIID-4291,348
466,TEIID-4291,349
467,TEIID-4102,398
468,TEIID-4128,370
469,TEIID-4468,399
470,TEIID-4468,400
471,TEIID-4468,401
472,TEIID-4468,33
473,TEIID-4468,402
474,TEIID-4468,403
475,TEIID-4468,216
476,TEIID-4468,50
477,TEIID-4468,235
478,TEIID-4329,49
481,TEIID-3969,370
482,TEIID-3969,406
487,TEIID-4351,407
488,TEIID-4351,408
489,TEIID-4351,409
490,TEIID-4351,28
491,TEIID-4351,34
492,TEIID-4351,410
493,TEIID-4351,411
494,TEIID-4351,75
495,TEIID-4351,76
496,TEIID-4351,291
497,TEIID-4351,70
498,TEIID-4351,412
499,TEIID-4351,358
500,TEIID-4351,359
501,TEIID-4351,360
502,TEIID-4351,14
503,TEIID-4351,18
504,TEIID-4351,23
505,TEIID-4351,36
506,TEIID-4351,413
507,TEIID-4351,59
508,TEIID-4351,414
509,TEIID-4351,362
510,TEIID-4351,363
511,TEIID-4351,364
512,TEIID-4351,47
513,TEIID-4351,415
514,TEIID-4351,292
515,TEIID-4351,74
516,TEIID-4351,342
517,TEIID-4351,416
518,TEIID-4351,329
519,TEIID-4351,330
520,TEIID-4351,331
521,TEIID-4351,417
522,TEIID-4351,332
523,TEIID-4351,60
524,TEIID-4351,334
525,TEIID-4351,336
526,TEIID-4351,365
527,TEIID-4351,345
528,TEIID-4351,418
529,TEIID-4351,346
530,TEIID-4351,419
531,TEIID-4351,67
532,TEIID-4351,338
533,TEIID-4351,339
534,TEIID-4351,340
535,TEIID-4351,420
536,TEIID-4351,421
537,TEIID-4351,422
538,TEIID-4351,423
539,TEIID-4351,424
540,TEIID-4351,425
541,TEIID-4351,61
544,TEIID-4351,348
545,TEIID-4351,349
546,TEIID-4351,426
547,TEIID-4351,366
548,TEIID-4351,350
549,TEIID-4351,351
550,TEIID-4148,427
551,TEIID-4150,428
552,TEIID-4150,429
553,TEIID-4150,10
554,TEIID-4339,430
555,TEIID-3124,431
556,TEIID-3536,432
557,TEIID-3536,28
558,TEIID-3536,34
559,TEIID-3536,433
560,TEIID-3536,65
561,TEIID-3536,76
562,TEIID-3536,75
563,TEIID-3536,434
564,TEIID-3536,70
565,TEIID-3536,435
566,TEIID-3536,325
567,TEIID-3536,326
568,TEIID-3536,327
569,TEIID-3536,436
570,TEIID-3536,14
571,TEIID-3536,18
572,TEIID-3536,21
573,TEIID-3536,35
574,TEIID-3536,59
575,TEIID-3536,15
576,TEIID-3536,437
577,TEIID-3189,438
579,TEIID-3083,439
580,TEIID-3083,440
581,TEIID-3424,75
583,TEIID-3368,378
584,TEIID-3368,235
585,TEIID-3900,441
586,TEIID-3895,58
587,TEIID-3895,442
588,TEIID-3895,13
589,TEIID-3533,432
590,TEIID-3533,28
591,TEIID-3533,34
592,TEIID-3533,433
593,TEIID-3533,65
594,TEIID-3533,76
595,TEIID-3533,75
596,TEIID-3533,434
597,TEIID-3533,70
598,TEIID-3533,435
599,TEIID-3533,325
600,TEIID-3533,326
601,TEIID-3533,327
602,TEIID-3533,436
603,TEIID-3533,14
604,TEIID-3533,18
605,TEIID-3533,21
606,TEIID-3533,35
607,TEIID-3533,59
608,TEIID-3533,15
609,TEIID-3533,437
610,TEIID-3535,432
611,TEIID-3535,28
612,TEIID-3535,34
613,TEIID-3535,433
614,TEIID-3535,65
615,TEIID-3535,76
616,TEIID-3535,75
617,TEIID-3535,434
618,TEIID-3535,70
619,TEIID-3535,435
620,TEIID-3535,325
621,TEIID-3535,326
622,TEIID-3535,327
623,TEIID-3535,436
624,TEIID-3535,14
625,TEIID-3535,18
626,TEIID-3535,21
627,TEIID-3535,35
628,TEIID-3535,59
629,TEIID-3535,15
630,TEIID-3535,437
631,TEIID-3409,443
632,TEIID-2914,444
633,TEIID-2914,445
634,TEIID-2914,57
635,TEIID-2914,446
636,TEIID-2914,329
637,TEIID-2914,447
638,TEIID-2914,448
639,TEIID-2914,77
640,TEIID-2914,74
641,TEIID-2914,449
642,TEIID-3197,450
643,TEIID-2811,451
644,TEIID-3055,447
645,TEIID-3055,64
646,TEIID-3055,449
648,TEIID-3054,331
649,TEIID-3054,31
650,TEIID-3054,447
651,TEIID-3054,64
652,TEIID-3000,452
653,TEIID-3000,453
654,TEIID-3012,369
655,TEIID-3012,454
656,TEIID-3012,455
657,TEIID-4215,220
658,TEIID-3408,456
659,TEIID-3408,457
660,TEIID-3408,458
661,TEIID-3408,459
662,TEIID-3408,460
663,TEIID-3408,461
664,TEIID-3408,462
665,TEIID-3408,463
666,TEIID-3408,464
667,TEIID-2799,344
668,TEIID-2799,447
669,TEIID-2799,334
670,TEIID-2799,345
671,TEIID-2799,418
672,TEIID-2486,465
673,TEIID-3277,3
674,TEIID-3277,32
675,TEIID-3277,331
676,TEIID-3277,447
677,TEIID-3277,418
678,TEIID-3277,5
