,issue_id,issue_comments,issue_desc,created_at,closed_at
0,WFCORE-2015,"*Description of problem:*
CLI is unable to connect to EAP with undefined security-realm

This is regression against EAP 7.0.0, 6.4.0 and 7.1.0.DR7.

*How reproducible:*
Always

*Steps to Reproduce:*
# /core-service=management/management-interface=http-interface:undefine-attribute(name=security-realm)
# reload

*Actual results:*
{noformat}
[mkopecky@dhcp-10-40-4-180 bin]$ ./jboss-cli.sh -c
[standalone@localhost:9990 /] /core-service=management/management-interface=http-interface:undefine-attribute(name=security-realm)
{
    ""outcome"" => ""success"",
    ""response-headers"" => {
        ""operation-requires-reload"" => true,
        ""process-state"" => ""reload-required""
    }
}
[standalone@localhost:9990 /] reload
Interrupted while pausing before reconnecting.: sleep interrupted
[disconnected /] 
[mkopecky@dhcp-10-40-4-180 bin]$ ./jboss-cli.sh -c
Failed to connect to the controller: Unable to authenticate against controller at localhost:9990: Authentication failed: none of the mechanisms presented by the server are supported
[mkopecky@dhcp-10-40-4-180 bin]$ 
{noformat}",,,
1,WFCORE-2446,"There are inconsistencies between DMR and XSD representation of {{key-managers}} and {{trust-managers}}. According to XSD, {{key-store}} is optional, but according to DMR it is {{""nillable"" => false}}.

",,,
2,WFCORE-2013,"When http management interface is secured with legacy security realm using ldap, user is not prompted to provide credentials as should be in case of BASIC http authentication mechanism. Instead {{403}} http status is returned directly.

Users won't be able to migrate their current (6.4, 7.0) configuration to 7.1 without change.",,,
3,WFCORE-2009,"When configuring SSL/TLS for the management interfaces, you need to specify an (ssl-context or security-realm) and secure-socket-binding. When using ssl-context and secure-socket-binding, it fails with:

{code}
""WFLYCTL0380: Attribute 'security-realm' needs to be set or passed before attribute 'secure-socket-binding' can be correctly set""
{code}

failing operations:


{code:java}
batch

/subsystem=elytron/key-store=httpsKS:add(path=keystore.jks,relative-to=jboss.server.config.dir,credential-reference={clear-text=secret},type=JKS)

/subsystem=elytron/key-managers=httpsKM:add(key-store=httpsKS,algorithm=""SunX509"",credential-reference={clear-text=secret})

/subsystem=elytron/server-ssl-context=httpsSSC:add(key-managers=httpsKM,protocols=[""TLSv1.1""])

/core-service=management/management-interface=http-interface:write-attribute(name=ssl-context, value=httpsSSC)

/core-service=management/management-interface=http-interface:write-attribute(name=secure-socket-binding, value=management-https)

run-batch

reload
{code}


Oddly, this will pass (specifying BOTH ssl-context and security-realm):


{code:java}
batch

/subsystem=elytron/key-store=httpsKS:add(path=keystore.jks,relative-to=jboss.server.config.dir,credential-reference={clear-text=secret},type=JKS)

/subsystem=elytron/key-managers=httpsKM:add(key-store=httpsKS,algorithm=""SunX509"",credential-reference={clear-text=secret})

/subsystem=elytron/server-ssl-context=httpsSSC:add(key-managers=httpsKM,protocols=[""TLSv1.1""])

/core-service=management/management-interface=http-interface:write-attribute(name=ssl-context, value=httpsSSC)

/core-service=management/management-interface=http-interface:write-attribute(name=security-realm, value=ManagementDomain)

/core-service=management/management-interface=http-interface:write-attribute(name=secure-socket-binding, value=management-https)

run-batch

reload
{code}

",,,
14,WFCORE-2008,"File system paths should be allowed as arguments for
/core-service=patching:patch(input-stream-index=)",,,
16,WFCORE-2007,"gc.log.*.current enclosed with double quotes in the following line (line 265) in standalone.sh is not evaluated as a wildcard by bash,
{code:java}
mv ""$JBOSS_LOG_DIR/gc.log.*.current"" ""$JBOSS_LOG_DIR/backupgc.log.current"" >/dev/null 2>&1
{code}
therefore standalone.sh fails to move an existing gc.log.<number>.current file to backupgc.log.current silently.",,,
17,WFCORE-2006,PatchMerger when merging content modification for a module copies all of the module slots instead of the one actually modified. This may lead to undesired content overwrite.,,,
20,WFCORE-2005,"Completion doesn't work properly for:
- ~XXX
- quoted paths
- paths that contain escaped white spaces
",,,
39,WFCORE-2002,"All file options are impacted --file and --properties
",,,
42,WFCORE-2368,Elytron {{ldap-realm.identity-mapping.filter-name}} attribute has not assigned default value in CLI. However according to XSD it has default value (rdn-identifier={0}).,,,
44,WFCORE-1997,"When I use non-existent attribute name for 'list-add' operation, I get following NPE in server.log:
{code}
12:44:24,150 ERROR [org.jboss.as.controller.management-operation] (management-handler-thread - 10) WFLYCTL0013: Operation (""list-add"") failed - address: ([
    (""subsystem"" => ""undertow""),
    (""server"" => ""default-server""),
    (""https-listener"" => ""https"")
]): java.lang.NullPointerException
	at org.jboss.as.controller.operations.global.AbstractCollectionHandler.execute(AbstractCollectionHandler.java:92)
	at org.jboss.as.controller.operations.global.ListOperations$ListAddHandler.execute(ListOperations.java:108)
	at org.jboss.as.controller.AbstractOperationContext.executeStep(AbstractOperationContext.java:921)
	at org.jboss.as.controller.AbstractOperationContext.processStages(AbstractOperationContext.java:664)
	at org.jboss.as.controller.AbstractOperationContext.executeOperation(AbstractOperationContext.java:383)
	at org.jboss.as.controller.OperationContextImpl.executeOperation(OperationContextImpl.java:1364)
	at org.jboss.as.controller.ModelControllerImpl.internalExecute(ModelControllerImpl.java:416)
	at org.jboss.as.controller.ModelControllerImpl.lambda$execute$1(ModelControllerImpl.java:237)
	at org.wildfly.security.auth.client.PeerIdentity.runAsAll(PeerIdentity.java:431)
	at org.wildfly.security.auth.server.SecurityIdentity.runAs(SecurityIdentity.java:206)
	at org.jboss.as.controller.ModelControllerImpl.execute(ModelControllerImpl.java:237)
	at org.jboss.as.controller.remote.ModelControllerClientOperationHandler$ExecuteRequestHandler.doExecute(ModelControllerClientOperationHandler.java:217)
	at org.jboss.as.controller.remote.ModelControllerClientOperationHandler$ExecuteRequestHandler.access$400(ModelControllerClientOperationHandler.java:137)
	at org.jboss.as.controller.remote.ModelControllerClientOperationHandler$ExecuteRequestHandler$1$1.run(ModelControllerClientOperationHandler.java:161)
	at org.jboss.as.controller.remote.ModelControllerClientOperationHandler$ExecuteRequestHandler$1$1.run(ModelControllerClientOperationHandler.java:157)
	at org.wildfly.security.auth.client.PeerIdentity.runAsAll(PeerIdentity.java:464)
	at org.wildfly.security.auth.server.SecurityIdentity.runAs(SecurityIdentity.java:225)
	at org.jboss.as.controller.AccessAuditContext.doAs(AccessAuditContext.java:185)
	at org.jboss.as.controller.remote.ModelControllerClientOperationHandler$ExecuteRequestHandler$1.execute(ModelControllerClientOperationHandler.java:157)
	at org.jboss.as.protocol.mgmt.ManagementRequestContextImpl$1.doExecute(ManagementRequestContextImpl.java:70)
	at org.jboss.as.protocol.mgmt.ManagementRequestContextImpl$AsyncTaskRunner.run(ManagementRequestContextImpl.java:160)
	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1142)
	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:617)
	at java.lang.Thread.run(Thread.java:745)
	at org.jboss.threads.JBossThread.run(JBossThread.java:320)
{code}

Yeah - I understand that it is my fault that I provided bad command. But still, server should not respond with NPE. Ideally it should told me that provided list attribute does not exist for particular element and should finish operation with error.",,,
45,WFCORE-1996,"See PR for WFLY-2640 for an example of a resource that doesn't get removed by a remove call.

In a situation like that, the AbstractRemoveStepHandler performRemove logic will never remove the resource, because it always finds it has the child. So it will just loop trying to remove the child and then calling itself again.

Possible solution is for AbstractRemoveStepHandler to have its own AttachmentKey<Set<PathAddress>> and before adding itself in a step, it adds its address to the set. Then if performRemove finds itself in the set it knows it's already tried to remove children and just removes itself.",,,
46,WFCORE-1993,"{code}
/core-service=platform-mbean:read-resource-description 
{
    ""outcome"" => ""success"",
    ""result"" => {
        ""description"" => ""Provides the management interface for monitoring and management of the Java virtual machine as well as the operating system on which the Java virtual machine is running. Exposes the JDK-provided JMX MBeans in the java.lang, java.nio and java.util.logging JMX domains."", ...
{code}
but java.util.logging JMX domain is not available in this service.
Not exposing those mbeans is deliberate, so change the description.",,,
52,WFCORE-1992,"CLI interprets {} as blank object in resource attribute (correct), but as UNDEFINED in object attribute. (in model parameter of *performRuntime* of ADD operation)

{code:java}
/subsystem=elytron/properties-realm=realm:add(users-properties={path=$SOME_PATH},groups-properties={})
=> groups-properties = OBJECT {}
{code}

{code:java}
/subsystem=elytron/ldap-realm=ldap-realm8:add(dir-context=local-ldap,identity-mapping={rdn-identifier=uid,otp-credential-mapper={}})
=> otp-credential-mapper=UNDEFINED
{code}",,,
