,issue_id,commit_id
0,WFCORE-2015,279
1,WFCORE-2446,280
2,WFCORE-2013,281
3,WFCORE-2009,282
4,WFCORE-2009,283
5,WFCORE-2009,284
6,WFCORE-2009,285
7,WFCORE-2009,286
8,WFCORE-2009,287
9,WFCORE-2009,288
10,WFCORE-2009,289
11,WFCORE-2009,290
12,WFCORE-2009,291
13,WFCORE-2009,292
14,WFCORE-2008,183
15,WFCORE-2008,293
16,WFCORE-2007,294
17,WFCORE-2006,70
18,WFCORE-2006,295
19,WFCORE-2006,296
20,WFCORE-2005,297
21,WFCORE-2005,298
22,WFCORE-2005,299
23,WFCORE-2005,300
24,WFCORE-2005,301
25,WFCORE-2005,302
26,WFCORE-2005,303
27,WFCORE-2005,304
28,WFCORE-2005,305
29,WFCORE-2005,306
30,WFCORE-2005,307
31,WFCORE-2005,114
32,WFCORE-2005,126
33,WFCORE-2005,308
34,WFCORE-2005,309
35,WFCORE-2005,310
36,WFCORE-2005,311
37,WFCORE-2005,312
38,WFCORE-2005,313
39,WFCORE-2002,305
40,WFCORE-2002,314
41,WFCORE-2002,315
42,WFCORE-2368,316
43,WFCORE-2368,280
44,WFCORE-1997,317
45,WFCORE-1996,318
46,WFCORE-1993,319
47,WFCORE-1993,320
48,WFCORE-1993,321
49,WFCORE-1993,322
50,WFCORE-1993,323
52,WFCORE-1992,324
53,WFCORE-1992,325
54,WFCORE-1988,326
55,WFCORE-2017,327
56,WFCORE-2463,328
57,WFCORE-2463,329
58,WFCORE-2186,330
59,WFCORE-2186,309
60,WFCORE-2186,310
61,WFCORE-2186,324
62,WFCORE-2186,331
63,WFCORE-2186,332
64,WFCORE-2186,333
65,WFCORE-2186,334
66,WFCORE-2186,335
67,WFCORE-2410,316
68,WFCORE-2410,280
69,WFCORE-1985,336
70,WFCORE-1985,337
71,WFCORE-1983,338
72,WFCORE-1983,339
73,WFCORE-1983,340
74,WFCORE-1983,341
75,WFCORE-1982,297
76,WFCORE-1982,315
77,WFCORE-2393,342
78,WFCORE-2393,343
79,WFCORE-1980,344
80,WFCORE-1980,345
81,WFCORE-1980,346
82,WFCORE-1976,347
83,WFCORE-1975,348
84,WFCORE-1971,349
85,WFCORE-1971,350
86,WFCORE-1971,49
87,WFCORE-1971,351
88,WFCORE-1971,352
89,WFCORE-1970,139
90,WFCORE-1970,353
91,WFCORE-1970,341
92,WFCORE-1968,354
93,WFCORE-1968,193
94,WFCORE-1968,310
95,WFCORE-1968,333
96,WFCORE-1967,355
97,WFCORE-1961,356
98,WFCORE-1961,310
99,WFCORE-1961,357
100,WFCORE-1959,358
101,WFCORE-1957,359
102,WFCORE-1951,360
103,WFCORE-1951,361
104,WFCORE-1951,362
105,WFCORE-1951,363
106,WFCORE-1949,364
107,WFCORE-1943,365
108,WFCORE-1943,366
109,WFCORE-1943,367
110,WFCORE-1943,368
111,WFCORE-1943,369
112,WFCORE-1943,370
113,WFCORE-1943,371
114,WFCORE-1943,372
115,WFCORE-2426,373
116,WFCORE-2426,374
117,WFCORE-1937,375
118,WFCORE-2427,338
119,WFCORE-2427,376
120,WFCORE-2427,377
121,WFCORE-2427,373
122,WFCORE-2427,378
123,WFCORE-2427,379
124,WFCORE-2427,316
125,WFCORE-2427,280
126,WFCORE-2427,380
127,WFCORE-2427,381
128,WFCORE-2427,382
129,WFCORE-2427,383
130,WFCORE-1936,384
131,WFCORE-1936,87
132,WFCORE-2482,385
133,WFCORE-2482,386
134,WFCORE-2482,280
138,WFCORE-1932,338
139,WFCORE-1932,389
140,WFCORE-1932,390
141,WFCORE-1932,391
142,WFCORE-1928,338
143,WFCORE-1928,392
144,WFCORE-1926,338
145,WFCORE-1926,393
146,WFCORE-1926,394
147,WFCORE-2397,280
148,WFCORE-2493,379
149,WFCORE-2493,395
150,WFCORE-2493,396
151,WFCORE-2493,316
152,WFCORE-1922,397
153,WFCORE-1922,398
154,WFCORE-1922,399
155,WFCORE-1922,400
156,WFCORE-1922,401
157,WFCORE-1922,402
158,WFCORE-1922,403
159,WFCORE-1922,404
160,WFCORE-1922,405
161,WFCORE-1922,406
162,WFCORE-1922,407
163,WFCORE-1922,408
164,WFCORE-1922,409
165,WFCORE-1922,353
166,WFCORE-1922,410
167,WFCORE-1922,411
168,WFCORE-1922,412
170,WFCORE-1922,413
174,WFCORE-1922,414
177,WFCORE-1922,415
178,WFCORE-1922,64
179,WFCORE-1922,416
180,WFCORE-1922,417
181,WFCORE-1922,418
182,WFCORE-1922,419
183,WFCORE-1922,420
184,WFCORE-1922,421
185,WFCORE-1922,422
186,WFCORE-1922,423
187,WFCORE-1922,424
188,WFCORE-1922,425
189,WFCORE-1922,426
190,WFCORE-1922,427
191,WFCORE-1922,428
192,WFCORE-1922,429
193,WFCORE-1922,430
194,WFCORE-2034,431
195,WFCORE-2457,432
196,WFCORE-2457,343
197,WFCORE-1931,355
198,WFCORE-1920,309
199,WFCORE-1920,433
200,WFCORE-1920,335
201,WFCORE-2445,280
202,WFCORE-1919,434
203,WFCORE-1919,435
204,WFCORE-2443,316
205,WFCORE-1918,139
206,WFCORE-1918,353
207,WFCORE-1918,341
208,WFCORE-1915,436
209,WFCORE-2452,437
211,WFCORE-2474,280
212,WFCORE-1908,297
213,WFCORE-1908,356
214,WFCORE-1908,357
215,WFCORE-1906,438
216,WFCORE-1906,439
218,WFCORE-1909,139
219,WFCORE-1909,353
220,WFCORE-1909,341
221,WFCORE-1896,440
222,WFCORE-1896,441
223,WFCORE-1896,442
224,WFCORE-1905,438
225,WFCORE-1905,439
227,WFCORE-1888,360
228,WFCORE-2581,443
229,WFCORE-1998,444
230,WFCORE-1998,445
231,WFCORE-1876,446
232,WFCORE-1876,447
233,WFCORE-2518,448
234,WFCORE-2518,379
235,WFCORE-2518,449
236,WFCORE-2518,316
237,WFCORE-2518,280
238,WFCORE-2518,450
239,WFCORE-1864,308
240,WFCORE-1864,451
241,WFCORE-2364,452
242,WFCORE-2364,343
243,WFCORE-2364,453
244,WFCORE-1857,349
245,WFCORE-1857,447
246,WFCORE-1856,454
247,WFCORE-1856,447
248,WFCORE-1853,455
249,WFCORE-1851,441
250,WFCORE-1851,5
251,WFCORE-2409,448
252,WFCORE-2409,379
253,WFCORE-2409,449
254,WFCORE-2409,316
255,WFCORE-2409,280
256,WFCORE-2409,450
257,WFCORE-1848,23
258,WFCORE-1848,456
259,WFCORE-1848,96
260,WFCORE-1848,457
261,WFCORE-1848,278
262,WFCORE-1847,70
263,WFCORE-1847,458
264,WFCORE-1847,459
265,WFCORE-1847,296
266,WFCORE-1847,460
267,WFCORE-1846,234
268,WFCORE-1846,5
269,WFCORE-1846,461
270,WFCORE-1846,462
271,WFCORE-1846,463
272,WFCORE-1846,288
273,WFCORE-1845,259
274,WFCORE-1845,464
275,WFCORE-1845,347
276,WFCORE-1845,465
277,WFCORE-1845,36
281,WFCORE-1845,466
282,WFCORE-1844,23
283,WFCORE-1844,456
284,WFCORE-1844,96
285,WFCORE-1844,457
286,WFCORE-1844,278
287,WFCORE-1834,467
288,WFCORE-1834,468
289,WFCORE-1834,469
290,WFCORE-1834,470
291,WFCORE-1834,471
292,WFCORE-1834,472
293,WFCORE-1834,473
294,WFCORE-1834,474
295,WFCORE-1834,475
296,WFCORE-1834,476
299,WFCORE-1826,309
300,WFCORE-1826,335
301,WFCORE-1825,309
302,WFCORE-1825,335
303,WFCORE-1824,472
304,WFCORE-1824,474
305,WFCORE-1824,43
307,WFCORE-1824,469
308,WFCORE-1824,470
311,WFCORE-1824,475
312,WFCORE-1823,477
313,WFCORE-1815,478
314,WFCORE-1810,479
315,WFCORE-1803,315
316,WFCORE-1799,349
317,WFCORE-1799,480
318,WFCORE-1797,481
319,WFCORE-1797,482
321,WFCORE-1797,288
322,WFCORE-1796,483
323,WFCORE-1794,301
324,WFCORE-1794,126
325,WFCORE-1794,484
326,WFCORE-1789,485
327,WFCORE-1789,486
328,WFCORE-1789,487
329,WFCORE-1789,488
330,WFCORE-1787,297
331,WFCORE-1787,311
332,WFCORE-1786,481
333,WFCORE-1785,244
334,WFCORE-1785,489
335,WFCORE-1785,490
336,WFCORE-1784,301
337,WFCORE-1784,484
338,WFCORE-1780,491
339,WFCORE-1780,284
340,WFCORE-1776,492
341,WFCORE-2509,379
342,WFCORE-2509,385
343,WFCORE-2509,386
344,WFCORE-2509,316
345,WFCORE-2509,280
346,WFCORE-2509,383
347,WFCORE-1771,309
348,WFCORE-1771,335
349,WFCORE-1769,461
350,WFCORE-1769,493
351,WFCORE-1767,309
352,WFCORE-1767,335
353,WFCORE-1768,494
355,WFCORE-1765,495
356,WFCORE-1762,496
357,WFCORE-1762,497
359,WFCORE-1762,498
360,WFCORE-1762,259
361,WFCORE-1762,375
362,WFCORE-1762,338
363,WFCORE-1762,136
365,WFCORE-1761,499
366,WFCORE-1756,234
367,WFCORE-1756,5
368,WFCORE-1756,500
369,WFCORE-1752,297
370,WFCORE-1752,304
371,WFCORE-1752,501
372,WFCORE-1752,502
373,WFCORE-1752,503
374,WFCORE-1752,504
375,WFCORE-1750,505
376,WFCORE-1743,297
377,WFCORE-1743,506
378,WFCORE-1747,416
379,WFCORE-1747,507
380,WFCORE-1741,99
381,WFCORE-1741,363
382,WFCORE-1741,124
383,WFCORE-1741,291
384,WFCORE-1741,508
385,WFCORE-1737,267
388,WFCORE-1737,509
389,WFCORE-1737,510
390,WFCORE-1731,139
391,WFCORE-1730,511
392,WFCORE-1729,455
393,WFCORE-1717,338
394,WFCORE-1717,512
395,WFCORE-1716,513
396,WFCORE-1716,514
397,WFCORE-1714,515
398,WFCORE-1714,516
399,WFCORE-1712,517
400,WFCORE-1710,518
402,WFCORE-1708,519
403,WFCORE-1706,303
404,WFCORE-1704,520
405,WFCORE-1702,338
406,WFCORE-1702,521
407,WFCORE-1699,522
413,WFCORE-1695,515
414,WFCORE-1695,528
415,WFCORE-1695,529
416,WFCORE-1687,505
417,WFCORE-1686,530
418,WFCORE-1686,212
419,WFCORE-1686,531
420,WFCORE-1686,532
421,WFCORE-1686,533
422,WFCORE-1686,534
423,WFCORE-1686,535
424,WFCORE-1682,349
425,WFCORE-1682,536
426,WFCORE-1682,537
427,WFCORE-1682,538
428,WFCORE-1680,515
429,WFCORE-1680,304
430,WFCORE-1680,539
431,WFCORE-1680,540
432,WFCORE-1680,541
433,WFCORE-1680,349
434,WFCORE-1680,447
435,WFCORE-1680,503
436,WFCORE-1679,492
437,WFCORE-1679,542
438,WFCORE-1679,543
439,WFCORE-1676,544
440,WFCORE-1676,545
441,WFCORE-1657,546
442,WFCORE-1657,308
443,WFCORE-1657,547
444,WFCORE-1657,548
445,WFCORE-1655,549
446,WFCORE-1655,550
447,WFCORE-1655,551
448,WFCORE-1655,552
449,WFCORE-1655,553
450,WFCORE-1647,554
451,WFCORE-1645,555
452,WFCORE-1642,64
