,issue_id,commit_id
844,ELY-1487,123
845,ELY-1487,484
850,ELY-1476,58
851,ELY-1476,105
852,ELY-1476,89
853,ELY-1476,21
854,ELY-1476,18
855,ELY-1476,57
856,ELY-1476,72
857,ELY-1476,486
858,ELY-1476,487
859,ELY-1476,484
860,ELY-1476,20
861,ELY-1476,488
862,ELY-1476,489
863,ELY-1476,31
864,ELY-1476,48
865,ELY-1476,490
866,ELY-1476,491
867,ELY-1476,492
868,ELY-1476,493
869,ELY-1476,494
870,ELY-1476,495
871,ELY-1476,496
872,ELY-1476,14
873,ELY-1476,34
889,ELY-1458,370
890,ELY-1458,138
891,ELY-1458,499
893,ELY-1456,12
895,ELY-1456,152
896,ELY-1456,78
898,ELY-1453,500
899,ELY-1452,501
900,ELY-1448,62
901,ELY-1448,128
902,ELY-1448,81
903,ELY-1448,501
904,ELY-1448,502
905,ELY-1448,503
906,ELY-1448,504
907,ELY-1448,505
908,ELY-1448,506
909,ELY-1447,507
910,ELY-1447,508
911,ELY-1447,509
912,ELY-1447,499
917,ELY-1428,105
919,ELY-1428,512
928,ELY-1406,370
929,ELY-1406,475
930,ELY-1404,31
931,ELY-1404,48
932,ELY-1397,287
933,ELY-1396,515
934,ELY-1396,516
935,ELY-1396,517
936,ELY-1394,459
937,ELY-1394,460
938,ELY-1394,461
942,ELY-1394,105
943,ELY-1394,94
946,ELY-1391,459
947,ELY-1391,460
948,ELY-1391,461
949,ELY-1384,518
950,ELY-1380,43
951,ELY-1380,519
952,ELY-1380,520
953,ELY-1380,521
954,ELY-1380,149
955,ELY-1380,22
956,ELY-1380,522
957,ELY-1380,64
958,ELY-1373,81
959,ELY-1369,480
960,ELY-1369,123
961,ELY-1369,484
962,ELY-1369,36
963,ELY-1369,523
964,ELY-1369,524
965,ELY-1368,525
966,ELY-1367,526
967,ELY-1364,527
970,ELY-1359,8
973,ELY-1352,530
974,ELY-1351,10
975,ELY-1349,58
976,ELY-1349,105
977,ELY-1346,82
