,issue_id,issue_comments,issue_desc,created_at,closed_at
0,WFLY-2049,"It seems as some cache is not invalidated after logging in as user with scoped role. Logging as such user will cause page refresh to randomly switch between last 2 logged in users.

when I log in as  user with non-scoped role and then switch (log out -> log in) as user with scoped role, refreshing the page will randomly switch between those users.

",,,
4,WFLY-2057,"As the description says, org.jboss.as.server.deployment.RegisteredDeploymentUnitProcessor's compareTo is wrong.",,,
19,WFLY-1507,"Numerous exceptions are reported and the tests fails intermittently but often in StatefulWithXPCFailoverTestCase.

Entire logs attached.
",,,
22,WFLY-1497,"Log4jCustomHandlerTestCase.disabledLoggerTest does not bring the setup back in the original state. This means that whenever defaultLoggingTest is run after disabledLoggerTest, the test fails.

disabledLoggerTest must reset the enabled flag.",,,
25,WFLY-2210,"The org.jboss.as.ejb3.inflow.MessageEndpointService#isDeliveryTransacted method is checking the transaction attribute of the method using the MethodIntf.BEAN while it should use the MethodIntf.MESSAGE_ENDPOINT type.

",,,
26,WFLY-2192,This is causing a regression in TCK,,,
30,WFLY-2830,"The module is missing a bunch of dependencies,
proper module.xml looks like this: https://gist.github.com/alesj/8688428",,,
42,WFLY-1506,"We have been seeing the PooledEJBLifecycleTestCase fail frequently. The testMDB() is the recent one:

{code}
java.lang.AssertionError: Wrong postCreate calls count expected:<0> but was:<1>
    at org.junit.Assert.fail(Assert.java:88)
    at org.junit.Assert.failNotEquals(Assert.java:743)
    at org.junit.Assert.assertEquals(Assert.java:118)
    at org.junit.Assert.assertEquals(Assert.java:555)
    at org.jboss.as.test.integration.ejb.pool.lifecycle.PooledEJBLifecycleTestCase.testMDB(PooledEJBLifecycleTestCase.java:142)
    at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
    at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
    at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
    at java.lang.reflect.Method.invoke(Method.java:601)
    at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:47)
    at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12)
    at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:44)
    at org.jboss.arquillian.junit.Arquillian$6$1.invoke(Arquillian.java:270)
    at org.jboss.arquillian.container.test.impl.execution.LocalTestExecuter.execute(LocalTestExecuter.java:60)
    at sun.reflect.GeneratedMethodAccessor35.invoke(Unknown Source)
    at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
    at java.lang.reflect.Method.invoke(Method.java:601)
    at org.jboss.arquillian.core.impl.ObserverImpl.invoke(ObserverImpl.java:94)
    at org.jboss.arquillian.core.impl.EventContextImpl.invokeObservers(EventContextImpl.java:99)
    at org.jboss.arquillian.core.impl.EventContextImpl.proceed(EventContextImpl.java:81)
    at org.jboss.arquillian.core.impl.ManagerImpl.fire(ManagerImpl.java:135)
    at org.jboss.arquillian.core.impl.ManagerImpl.fire(ManagerImpl.java:115)
    at org.jboss.arquillian.core.impl.EventImpl.fire(EventImpl.java:67)
    at org.jboss.arquillian.container.test.impl.execution.ContainerTestExecuter.execute(ContainerTestExecuter.java:38)
    at sun.reflect.GeneratedMethodAccessor34.invoke(Unknown Source)
    at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
    at java.lang.reflect.Method.invoke(Method.java:601)
    at org.jboss.arquillian.core.impl.ObserverImpl.invoke(ObserverImpl.java:94)
    at org.jboss.arquillian.core.impl.EventContextImpl.invokeObservers(EventContextImpl.java:99)
    at org.jboss.arquillian.core.impl.EventContextImpl.proceed(EventContextImpl.java:81)
    at org.jboss.arquillian.test.impl.TestContextHandler.createTestContext(TestContextHandler.java:89)
    at sun.reflect.GeneratedMethodAccessor11.invoke(Unknown Source)
    at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43
{code}

Entire logs attached.
",,,
49,WFLY-2106,"full stacktrace:
[0m�[31m02:50:22,461 ERROR [org.jboss.as.controller.management-operation] (management-handler-thread - 1) JBAS014612: Operation (""read-attribute"") failed - address: ([]): java.lang.SecurityException: unable to instantiate Subject-based policy
	at javax.security.auth.Policy.getPolicyNoCheck(Policy.java:268) [rt.jar:1.6.0]
	at javax.security.auth.Policy.getPolicy(Policy.java:219) [rt.jar:1.6.0]
	at javax.security.auth.SubjectDomainCombiner$5.run(SubjectDomainCombiner.java:513) [rt.jar:1.6.0]
	at java.security.AccessController.doPrivileged(AccessController.java:228) [vm.jar:]
	at javax.security.auth.SubjectDomainCombiner.compatPolicy(SubjectDomainCombiner.java:509) [rt.jar:1.6.0]
	at javax.security.auth.SubjectDomainCombiner.combine(SubjectDomainCombiner.java:223) [rt.jar:1.6.0]
	at java.security.AccessController.getContext(AccessController.java:167) [vm.jar:]
	at org.jboss.as.controller.SecurityActions$CreateCallerActions$1.getCaller(SecurityActions.java:151)",,,
52,WFLY-2103,NoData,,,
54,WFLY-2855,"It should be ee-annotation-property-replacement, as it refers to all EE annotations, not just EJB ones. ",,,
76,WFLY-1930,"Hooops.. probably upgrade to UT beta9?

I am working on Beta1-SNAPSHOT (2e462f79888a924e4c138251c88380bd22d25ad8).

{noformat}
20:16:37,980 ERROR [org.xnio.listener] (default I/O-3) A channel event listener threw an exception: java.lang.NoSuchMethodError: org.xnio.conduits.WriteReadyHandler$ChannelListenerHandler.<init>(Lorg/xnio/channels/SuspendableWriteChannel;)V
	at io.undertow.ajp.AjpServerConnection.<init>(AjpServerConnection.java:54)
	at io.undertow.ajp.AjpOpenListener.handleEvent(AjpOpenListener.java:42)
	at io.undertow.ajp.AjpOpenListener.handleEvent(AjpOpenListener.java:16)
	at org.xnio.ChannelListeners.invokeChannelListener(ChannelListeners.java:91) [xnio-api-3.1.0.CR3.jar:3.1.0.CR3]
	at org.xnio.ChannelListeners$10.handleEvent(ChannelListeners.java:290) [xnio-api-3.1.0.CR3.jar:3.1.0.CR3]
	at org.xnio.ChannelListeners$10.handleEvent(ChannelListeners.java:285) [xnio-api-3.1.0.CR3.jar:3.1.0.CR3]
	at org.xnio.ChannelListeners.invokeChannelListener(ChannelListeners.java:91) [xnio-api-3.1.0.CR3.jar:3.1.0.CR3]
	at org.xnio.nio.NioTcpServerHandle.handleReady(NioTcpServerHandle.java:53) [xnio-nio-3.1.0.CR3.jar:3.1.0.CR3]
	at org.xnio.nio.WorkerThread.run(WorkerThread.java:528) [xnio-nio-3.1.0.CR3.jar:3.1.0.CR3]
{noformat}",,,
